event_prob_strong_negative,event_prob_negative,event_prob_neutral,event_prob_positive,event_prob_strong_positive,event_class_predicted,event_confidence
7.5882986514712e-05,0.00012517490378595727,0.00040226327738279537,0.9991476490717494,0.0002490297605672077,3,0.9991476490717494
7.809020763744724e-05,0.00012033605216022343,0.0004053625077270839,0.9991839384922765,0.00021227274019864733,3,0.9991839384922765
8.25371052447782e-05,0.00012939163319211367,0.0004093523650397615,0.9991221258992954,0.00025659299722789974,3,0.9991221258992954
0.0009756496590013947,0.9456042570321604,0.05188500261109235,0.0008975844516190589,0.0006375062461267717,1,0.9456042570321604
8.290081984681175e-05,0.00012948271095415497,0.0004019443440838127,0.9991812419203558,0.00020443020475959501,3,0.9991812419203558
3.4028147872098904e-05,0.00014042707976208777,0.9997288074744572,6.225003874381863e-05,3.4487259164646975e-05,2,0.9997288074744572
0.00022384416327824835,0.0018416037599934443,0.9975727460369711,0.00020584724592651052,0.00015595879383071488,2,0.9975727460369711
0.0002017027113958239,0.0012120419806228018,0.9982505321238336,0.00019061472497608196,0.00014510845917170608,2,0.9982505321238336
0.00013156859976565328,0.00019647888839848408,0.9983320532577288,0.0009554867783640075,0.00038441247574308435,2,0.9983320532577288
0.000638866662247281,0.0009983932649983182,0.1939100858148698,0.8028772338601294,0.0015754203977551317,3,0.8028772338601294
0.00011183186211580737,0.00017980525079919646,0.998329598516972,0.0009121566743614,0.00046660769575168973,2,0.998329598516972
0.00013734485156875696,0.001019838148276696,0.9986010141404721,0.0001369014896688296,0.00010490137001356009,2,0.9986010141404721
0.0012729216896784556,0.9983731389008017,0.0001652943800146342,0.00010593108581528675,8.271394369011502e-05,1,0.9983731389008017
0.000126635212322075,0.0009684125582419303,0.9986774920826809,0.00013066955310420657,9.679059365072982e-05,2,0.9986774920826809
9.362017031210924e-05,0.9994889474224631,0.00023440410117087651,0.00010038599729049916,8.264230876356033e-05,1,0.9994889474224631
6.854809429190932e-05,0.00010561106323091234,0.00040390792672691695,0.9992452894491507,0.00017664346659971162,3,0.9992452894491507
5.536084733018369e-05,7.39759671465212e-05,0.0002848965783674129,0.999404251979144,0.00018151462801181605,3,0.999404251979144
0.9996171682501616,0.00025655907092950175,5.6493948061173705e-05,3.8038670190284525e-05,3.1740060657385166e-05,0,0.9996171682501616
0.0055588482365738524,0.9940281535421408,0.00018917699101439904,0.00012441819993761649,9.940303033328193e-05,1,0.9940281535421408
8.331139984152334e-05,0.0001394809067796455,0.9986264733007743,0.0008572122569264811,0.0002935221356783421,2,0.9986264733007743
7.522089646747522e-05,0.00011537818327224645,0.0003771627637433519,0.9991978581969091,0.0002343799596078313,3,0.9991978581969091
8.665202930702513e-05,0.00014029298569323114,0.9987679525678805,0.0007237435803680903,0.00028135883675104893,2,0.9987679525678805
