ticker    ,sector                ,region                     ,payout_score,fcf_coverage_score,div_growth_score,balance_sheet_score,dividend_sustainability_score,sustainability_grade
NVDA      ,Information Technology,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
AAPL      ,Information Technology,United States and Canada   ,25          ,25                ,15              ,10                 ,75                           ,C
GOOGL     ,Communication Services,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
MSFT      ,Information Technology,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
AVGO      ,Information Technology,United States and Canada   ,25          ,25                ,15              ,20                 ,85                           ,B
META      ,Communication Services,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
LLY       ,Health Care           ,United States and Canada   ,25          ,20                ,5               ,0                  ,50                           ,D
WMT       ,Consumer Staples      ,United States and Canada   ,25          ,25                ,5               ,20                 ,75                           ,C
ORCL      ,Information Technology,United States and Canada   ,25          ,0                 ,15              ,0                  ,40                           ,F
XOM       ,Energy                ,United States and Canada   ,25          ,15                ,15              ,25                 ,80                           ,B
JNJ       ,Health Care           ,United States and Canada   ,25          ,20                ,15              ,20                 ,80                           ,B
ABBV      ,Health Care           ,United States and Canada   ,25          ,20                ,15              ,0                  ,60                           ,D
COST      ,Consumer Staples      ,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
MU        ,Information Technology,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
BABA      ,Consumer Discretionary,Asia / Pacific             ,25          ,0                 ,5               ,25                 ,55                           ,D
HD        ,Consumer Discretionary,United States and Canada   ,25          ,20                ,15              ,0                  ,60                           ,D
GE        ,Industrials           ,United States and Canada   ,25          ,25                ,15              ,10                 ,75                           ,C
PG        ,Consumer Staples      ,United States and Canada   ,25          ,0                 ,15              ,20                 ,60                           ,D
CVX       ,Energy                ,United States and Canada   ,25          ,15                ,15              ,25                 ,80                           ,B
UNH       ,Health Care           ,United States and Canada   ,25          ,25                ,15              ,20                 ,85                           ,B
CSCO      ,Information Technology,United States and Canada   ,25          ,20                ,15              ,20                 ,80                           ,B
KO        ,Consumer Staples      ,United States and Canada   ,25          ,5                 ,15              ,10                 ,55                           ,D
CAT       ,Industrials           ,United States and Canada   ,25          ,25                ,15              ,0                  ,65                           ,C
IBM       ,Information Technology,United States and Canada   ,25          ,25                ,15              ,0                  ,65                           ,C
MRK       ,Health Care           ,United States and Canada   ,25          ,20                ,5               ,20                 ,70                           ,C
RTX       ,Industrials           ,United States and Canada   ,25          ,20                ,15              ,20                 ,80                           ,B
PM        ,Consumer Staples      ,United States and Canada   ,25          ,15                ,15              ,25                 ,80                           ,B
CRM       ,Information Technology,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
LRCX      ,Information Technology,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
TMUS      ,Communication Services,United States and Canada   ,25          ,25                ,15              ,10                 ,75                           ,C
TMO       ,Health Care           ,United States and Canada   ,25          ,25                ,15              ,20                 ,85                           ,B
MCD       ,Consumer Discretionary,United States and Canada   ,25          ,15                ,15              ,25                 ,80                           ,B
ABT       ,Health Care           ,United States and Canada   ,25          ,20                ,15              ,25                 ,85                           ,B
AMAT      ,Information Technology,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
GUBRA     ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
LIN       ,Materials             ,Europe                     ,25          ,20                ,15              ,20                 ,80                           ,B
DIS       ,Communication Services,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
PEP       ,Consumer Staples      ,United States and Canada   ,25          ,5                 ,15              ,0                  ,45                           ,D
INTC      ,Information Technology,United States and Canada   ,25          ,0                 ,0               ,25                 ,50                           ,D
GEV       ,Industrials           ,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
QCOM      ,Information Technology,United States and Canada   ,25          ,25                ,15              ,20                 ,85                           ,B
POSTI     ,Industrials           ,Europe                     ,0           ,0                 ,5               ,10                 ,15                           ,F
AMGN      ,Health Care           ,United States and Canada   ,25          ,25                ,15              ,0                  ,65                           ,C
INTU      ,Information Technology,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
T         ,Communication Services,United States and Canada   ,25          ,0                 ,5               ,10                 ,40                           ,F
BA        ,Industrials           ,United States and Canada   ,25          ,0                 ,5               ,25                 ,55                           ,D
BKNG      ,Consumer Discretionary,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
TJX       ,Consumer Discretionary,United States and Canada   ,25          ,25                ,15              ,10                 ,75                           ,C
APH       ,Information Technology,United States and Canada   ,25          ,25                ,15              ,20                 ,85                           ,B
VZ        ,Communication Services,United States and Canada   ,25          ,20                ,15              ,10                 ,70                           ,C
NEE       ,Utilities             ,United States and Canada   ,25          ,0                 ,15              ,10                 ,50                           ,D
KLAC      ,Information Technology,United States and Canada   ,25          ,25                ,15              ,10                 ,75                           ,C
DHR       ,Health Care           ,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
TXN       ,Information Technology,United States and Canada   ,25          ,0                 ,15              ,20                 ,60                           ,D
ACN       ,Information Technology,Europe                     ,25          ,25                ,15              ,25                 ,90                           ,B
GILD      ,Health Care           ,United States and Canada   ,25          ,25                ,15              ,10                 ,75                           ,C
PFE       ,Health Care           ,United States and Canada   ,25          ,15                ,15              ,20                 ,75                           ,C
ADBE      ,Information Technology,United States and Canada   ,25          ,0                 ,0               ,20                 ,45                           ,D
LOW       ,Consumer Discretionary,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
UNP       ,Industrials           ,United States and Canada   ,25          ,20                ,5               ,10                 ,60                           ,D
ADI       ,Information Technology,United States and Canada   ,25          ,25                ,15              ,25                 ,90                           ,B
SYK       ,Health Care           ,United States and Canada   ,25          ,25                ,15              ,20                 ,85                           ,B
ETN       ,Industrials           ,Europe                     ,25          ,25                ,5               ,20                 ,75                           ,C
DE        ,Industrials           ,United States and Canada   ,25          ,20                ,15              ,0                  ,60                           ,D
HON       ,Industrials           ,United States and Canada   ,25          ,25                ,15              ,10                 ,75                           ,C
