model_name,correlation_with_meta,mae_vs_meta,mean_prediction,std_prediction
rf,0.988271897088153,640.7682098335023,2640.4320425014384,26984.572114179125
et,0.9810535349793824,509.5815538178281,2472.953480263896,29859.560504242225
gb,0.9857001138167434,557.9119797441974,2362.1681513125145,27575.67668574033
xgb,0.9721211279685726,535.6846072592737,2245.7021484375,24219.783203125
