ticker    ,sector                ,region                     ,rating_score,upside_score,consensus_strength_score,conviction_score  ,pt_momentum_score ,analyst_consensus_score,consensus_grade
TMO       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,73.07692307692308       ,80.76923076923077 ,50.077548186479305,59.2                   ,C
APP       ,Information Technology,United States and Canada   ,50.0        ,50.0        ,47.14003944773175       ,74.07407407407408 ,50.02838800885709 ,53.0                   ,C
CRM       ,Information Technology,United States and Canada   ,50.0        ,50.0        ,24.096385542168676      ,74.13793103448276 ,50.00963319911843 ,48.4                   ,D
PODD      ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,53.562005277044854      ,88.46153846153847 ,49.97165384789281 ,56.5                   ,C
MCD       ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,64.11764705882354       ,43.24324324324325 ,50.01261322463768 ,51.8                   ,C
SHOP      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,61.32596685082873       ,59.61538461538462 ,50.05302254740792 ,53.7                   ,C
ENVX      ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,0.0                     ,81.81818181818183 ,50.0              ,44.8                   ,D
ABT       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,67.58620689655173       ,75.0              ,50.00553904612086 ,57.3                   ,C
TMUS      ,Communication Services,United States and Canada   ,50.0        ,50.0        ,66.66666666666667       ,72.41379310344827 ,49.962420382165604,56.7                   ,C
LIN       ,Materials             ,Europe                     ,50.0        ,50.0        ,63.23676323676324       ,84.61538461538461 ,49.99133591823325 ,57.8                   ,C
DIS       ,Communication Services,United States and Canada   ,50.0        ,50.0        ,38.059701492537314      ,75.0              ,50.0025999293604  ,51.4                   ,C
ISRG      ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,41.13821138211382       ,55.88235294117647 ,50.052084994144444,49.1                   ,D
PEP       ,Consumer Staples      ,United States and Canada   ,50.0        ,50.0        ,64.26332288401254       ,20.833333333333336,50.01245194551376 ,48.5                   ,D
4017      ,Health Care           ,Africa / Middle East       ,50.0        ,50.0        ,90.9297052154195        ,16.666666666666664,50.0              ,53.2                   ,C
KLAC      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,39.93993993993994       ,48.275862068965516,50.141006874220295,47.7                   ,D
BA        ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,43.57976653696498       ,71.42857142857143 ,50.071896667380166,51.9                   ,C
LOCAL     ,Communication Services,Europe                     ,50.0        ,50.0        ,70.49180327868852       ,50.0              ,50.0              ,54.1                   ,C
APH       ,Information Technology,United States and Canada   ,50.0        ,50.0        ,56.351791530944624      ,72.22222222222221 ,50.065426872107956,54.6                   ,C
UBER      ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,30.0                    ,81.4814814814815  ,49.96696084380354 ,50.7                   ,C
GEV       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,35.233160621761655      ,65.625            ,50.08435744226062 ,49.4                   ,D
QCOM      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,65.12820512820514       ,41.666666666666664,50.00782064650677 ,51.8                   ,C
TJX       ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,39.88095238095239       ,85.71428571428572 ,50.063516821174204,53.3                   ,C
RDF       ,Information Technology,Europe                     ,50.0        ,50.0        ,51.84115523465705       ,100.0             ,50.0              ,57.9                   ,C
AMGN      ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,26.42642642642643       ,37.5              ,50.04379553196432 ,43.4                   ,D
BKNG      ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,62.0                    ,71.7948717948718  ,50.00744436864167 ,55.7                   ,C
ALEFEDT   ,Consumer Discretionary,Africa / Middle East       ,50.0        ,50.0        ,92.85714285714286       ,100.0             ,50.0              ,66.1                   ,B
TXN       ,Information Technology,United States and Canada   ,50.0        ,50.0        ,35.13513513513513       ,18.421052631578945,50.002405768763545,42.3                   ,D
ACN       ,Information Technology,Europe                     ,50.0        ,50.0        ,59.86622073578595       ,51.851851851851855,50.08102214859632 ,52.3                   ,C
NEE       ,Utilities             ,United States and Canada   ,50.0        ,50.0        ,49.74068331283751       ,62.49999999999999 ,49.99137892254909 ,51.8                   ,C
INTU      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,53.769470404984425      ,68.57142857142857 ,49.9622150175722  ,53.5                   ,C
LAT       ,Industrials           ,Europe                     ,50.0        ,50.0        ,50.0                    ,100.0             ,50.0              ,57.5                   ,C
DHR       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,65.71428571428572       ,88.0              ,50.04836759135135 ,58.8                   ,C
T         ,Communication Services,United States and Canada   ,50.0        ,50.0        ,53.333333333333336      ,60.0              ,49.92659172717834 ,52.2                   ,C
VZ        ,Communication Services,United States and Canada   ,50.0        ,50.0        ,39.13043478260869       ,41.66666666666667 ,50.006329647182724,46.6                   ,D
ANET      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,63.41463414634146       ,85.71428571428571 ,50.00734788050387 ,58.0                   ,C
ECOR      ,Materials             ,Europe                     ,50.0        ,50.0        ,71.42857142857142       ,80.0              ,50.21484375000001 ,58.8                   ,C
PDD       ,Consumer Discretionary,Europe                     ,50.0        ,50.0        ,45.76819153280336       ,68.29268292682927 ,50.04382143274832 ,51.9                   ,C
LOW       ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,62.142857142857146      ,60.0              ,50.032627355214224,53.9                   ,C
DTM       ,Energy                ,United States and Canada   ,50.0        ,50.0        ,72.0                    ,42.857142857142854,50.01892586392571 ,53.3                   ,C
GILD      ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,60.0                    ,75.86206896551724 ,50.04152085816087 ,55.9                   ,C
ADI       ,Information Technology,United States and Canada   ,50.0        ,50.0        ,36.34782608695652       ,66.66666666666667 ,50.05761771831708 ,49.8                   ,D
NOW       ,Information Technology,United States and Canada   ,50.0        ,50.0        ,57.027272727272745      ,89.36170212765957 ,49.88824902703459 ,57.3                   ,C
PFE       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,52.145454545454555      ,34.61538461538462 ,49.97773616097058 ,48.1                   ,D
BVB       ,Communication Services,Europe                     ,50.0        ,50.0        ,90.19607843137254       ,100.0             ,50.0              ,65.5                   ,B
SCCO      ,Materials             ,United States and Canada   ,50.0        ,50.0        ,21.56715328467152       ,25.0              ,50.243481013026745,40.6                   ,D
BSX       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,67.71653543307087       ,94.11764705882352 ,49.97961778202254 ,60.2                   ,C
NVMI      ,Information Technology,Africa / Middle East       ,50.0        ,50.0        ,68.91891891891892       ,75.0              ,50.11857667046825 ,57.5                   ,C
