ticker    ,sector                ,region                     ,current_ratio_score,quick_ratio_score,cash_ratio_score,debt_equity_score  ,debt_assets_score   ,interest_coverage_score,leverage_liquidity_score,leverage_grade
TMO       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,77.96702301141511  ,57.830273014046305  ,0.0                    ,47.2                    ,D
MCD       ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,0.0                 ,0.0                    ,40.0                    ,D
CRM       ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,93.42302431900784  ,85.34169516555262   ,0.0                    ,55.8                    ,C
ABT       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,89.3349477742288   ,76.46903480973788   ,0.0                    ,53.2                    ,C
TMUS      ,Communication Services,United States and Canada   ,50.0               ,50.0             ,50.0            ,37.93535360079472  ,30.926286442185212  ,0.0                    ,33.8                    ,F
KLAC      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,56.75123514013647  ,52.63640058177999   ,0.0                    ,41.9                    ,D
LIN       ,Materials             ,Europe                     ,50.0               ,50.0             ,50.0            ,80.91487709346299  ,64.73823100053652   ,0.0                    ,49.1                    ,D
SHOP      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,96.75261002480244  ,89.891554151106     ,50.0                   ,67.3                    ,B
PEP       ,Consumer Staples      ,United States and Canada   ,50.0               ,50.0             ,50.0            ,12.40438060646084  ,39.99140418430234   ,0.0                    ,30.5                    ,F
DIS       ,Communication Services,United States and Canada   ,50.0               ,50.0             ,50.0            ,86.78934143021672  ,71.25330356329171   ,0.0                    ,51.6                    ,C
APP       ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,20.930619873714917  ,0.0                    ,24.2                    ,F
ISRG      ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,99.70557867905656  ,99.02631354304494   ,50.0                   ,69.7                    ,B
APH       ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,75.37836128556596  ,57.5552000447757    ,0.0                    ,46.6                    ,D
BA        ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,55.26595166375677   ,18.78851296360888      ,54.8                    ,C
GEV       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,96.6613172220649   ,97.42400699232786   ,0.0                    ,58.8                    ,C
BCX       ,Health Care           ,Europe                     ,50.0               ,50.0             ,50.0            ,99.2831541218638   ,97.53208292201381   ,100.0                  ,79.4                    ,B
AMGN      ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,17.138960572305894  ,0.0                    ,23.4                    ,F
UBER      ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,83.03968677700658  ,72.10405120599486   ,0.0                    ,51.0                    ,C
ACN       ,Information Technology,Europe                     ,50.0               ,50.0             ,50.0            ,91.53988439760549  ,84.3587382196471    ,0.0                    ,55.2                    ,C
