ticker    ,sector                ,region                     ,upside_score       ,spread_score        ,coverage_score,rating_score,price_target_score,price_target_grade
BCX       ,Health Care           ,Europe                     ,100.0              ,100.0               ,3.3333335     ,100.0       ,80.7              ,A
AMGN      ,Health Care           ,United States and Canada   ,33.73102105464927  ,25.84970188553616   ,90.0          ,66.5        ,49.6              ,D
UBER      ,Industrials           ,United States and Canada   ,66.96431611340276  ,9.251620506776659   ,100.0         ,86.24999    ,63.0              ,C
ACN       ,Information Technology,Europe                     ,35.03519172014333  ,58.07274378952517   ,86.666664     ,73.25       ,58.8              ,C
TJX       ,Consumer Discretionary,United States and Canada   ,38.28165374677004  ,35.824119964417335  ,60.000004     ,89.25001    ,52.2              ,C
NEE       ,Utilities             ,United States and Canada   ,42.897418523390066 ,43.80007174458926   ,73.333336     ,77.0        ,56.0              ,C
TXN       ,Information Technology,United States and Canada   ,33.19709781814385  ,37.36298152207955   ,100.0         ,59.750004   ,52.9              ,C
QCOM      ,Information Technology,United States and Canada   ,55.58489803314796  ,57.34537699159452   ,86.666664     ,67.0        ,64.5              ,C
DHR       ,Health Care           ,United States and Canada   ,45.1302079654976   ,61.86279079622018   ,73.333336     ,90.0        ,63.9              ,C
T         ,Communication Services,United States and Canada   ,61.67920155148765  ,40.40017028522775   ,76.666664     ,76.0        ,62.2              ,C
BKNG      ,Consumer Discretionary,United States and Canada   ,57.4583494323482   ,53.94758703730128   ,100.0         ,82.75       ,70.1              ,B
VZ        ,Communication Services,United States and Canada   ,57.86287443958995  ,28.039064507838585  ,70.0          ,67.75       ,54.8              ,C
ANET      ,Information Technology,United States and Canada   ,62.399034635035534 ,53.78571978741431   ,83.33333      ,87.5        ,69.5              ,B
LOW       ,Consumer Discretionary,United States and Canada   ,33.563522088112244 ,61.808683120158534  ,100.0         ,77.75       ,62.7              ,C
GILD      ,Health Care           ,United States and Canada   ,41.58469653706226  ,56.76887358898407   ,86.666664     ,83.5        ,62.8              ,C
INTU      ,Information Technology,United States and Canada   ,83.81831482126739  ,31.96280878064883   ,100.0         ,82.25       ,73.8              ,B
PDD       ,Consumer Discretionary,Europe                     ,77.14395737063401  ,23.317253653053594  ,100.0         ,80.99999    ,69.0              ,B
SCCO      ,Materials             ,United States and Canada   ,5.402904424181021  ,35.93368333793866   ,50.0          ,42.25       ,29.3              ,F
ADI       ,Information Technology,United States and Canada   ,35.669349616060686 ,56.70274771024146   ,100.0         ,82.00001    ,63.1              ,C
PFE       ,Health Care           ,United States and Canada   ,46.359540827377096 ,48.69395711500976   ,80.0          ,64.5        ,57.3              ,C
DE        ,Industrials           ,United States and Canada   ,36.32730689476413  ,48.09486780715396   ,76.666664     ,71.0        ,54.3              ,C
HON       ,Industrials           ,United States and Canada   ,41.75061154412994  ,65.35849400610785   ,76.666664     ,71.25       ,60.5              ,C
SYK       ,Health Care           ,United States and Canada   ,52.76357505452013  ,59.041178734399914  ,93.333336     ,78.25       ,67.5              ,B
UNP       ,Industrials           ,United States and Canada   ,48.8992500278395   ,65.57584208462244   ,83.33333      ,76.0        ,65.4              ,B
LMT       ,Industrials           ,United States and Canada   ,28.79327415597871  ,66.34788729976135   ,63.333332     ,60.75       ,51.5              ,C
ETN       ,Industrials           ,Europe                     ,49.64922828282829  ,55.49090909090909   ,86.666664     ,80.75       ,64.7              ,C
NOW       ,Information Technology,United States and Canada   ,100.0              ,17.20995994030322   ,100.0         ,90.5        ,77.4              ,B
PANW      ,Information Technology,United States and Canada   ,56.91652752614066  ,28.594266226153696  ,100.0         ,80.99999    ,63.3              ,C
BSX       ,Health Care           ,United States and Canada   ,79.17603421520761  ,53.446122402634266  ,100.0         ,93.49999    ,79.8              ,B
NEM       ,Materials             ,United States and Canada   ,34.42867157378198  ,21.13564668769716   ,66.66667      ,82.25       ,47.1              ,D
MDT       ,Health Care           ,Europe                     ,49.53918056129712  ,71.26911947085573   ,73.333336     ,74.0        ,64.6              ,C
ADBE      ,Information Technology,United States and Canada   ,78.79463280651989  ,0.0                 ,100.0         ,67.5        ,61.1              ,C
COP       ,Energy                ,United States and Canada   ,49.1223365131095   ,65.37325593237601   ,93.333336     ,82.75       ,68.8              ,B
PH        ,Industrials           ,United States and Canada   ,34.93828860154169  ,44.18969150772555   ,76.666664     ,80.75       ,54.8              ,C
CRWD      ,Information Technology,United States and Canada   ,57.926593421658204 ,22.226139067594954  ,100.0         ,77.75       ,61.4              ,C
BMY       ,Health Care           ,United States and Canada   ,36.74448063698878  ,43.90155627940644   ,76.666664     ,60.5        ,51.3              ,C
ARM       ,Information Technology,Europe                     ,91.38263902018863  ,0.0                 ,100.0         ,70.75       ,66.1              ,B
SION      ,Health Care           ,United States and Canada   ,55.03849541180147  ,7.951930452569689   ,26.666668     ,91.75       ,44.9              ,D
VRTX      ,Health Care           ,United States and Canada   ,48.19648359615732  ,33.161138299800605  ,83.33333      ,79.25       ,57.7              ,C
CEG       ,Utilities             ,United States and Canada   ,69.37332770032391  ,54.90234311527087   ,56.666668     ,82.00001    ,65.7              ,B
HCA       ,Health Care           ,United States and Canada   ,37.692163812473204 ,66.5452065886765    ,66.66667      ,75.0        ,58.2              ,C
SBUX      ,Consumer Discretionary,United States and Canada   ,35.812094490447    ,48.381546402839014  ,100.0         ,66.0        ,57.8              ,C
ADP       ,Industrials           ,United States and Canada   ,45.320952575982524 ,60.835509138381205  ,43.333332     ,50.0        ,49.7              ,D
MELI      ,Consumer Discretionary,Latin America and Caribbean,73.06486876368466  ,36.86777413120901   ,86.666664     ,89.5        ,70.0              ,B
SPOT      ,Communication Services,Europe                     ,82.34549058473738  ,21.80547076313182   ,100.0         ,80.99999    ,70.5              ,B
