ticker    ,sector                ,region                     ,payout_score      ,fcf_coverage_score  ,div_growth_score,balance_sheet_score,streak_score,dividend_sustainability_score,sustainability_grade
MRK       ,Health Care           ,United States and Canada   ,81.39881635087397 ,32.18399309409298   ,50.0            ,72.49058339802754  ,64.0        ,58.9                         ,C
RTX       ,Industrials           ,United States and Canada   ,79.61370863266988 ,30.25418833044483   ,50.0            ,76.726169340521    ,24.0        ,52.6                         ,C
PM        ,Consumer Staples      ,United States and Canada   ,63.359159297955415,24.002371072910492  ,50.0            ,100.0              ,68.0        ,57.0                         ,C
AMAT      ,Information Technology,United States and Canada   ,90.90311555146575 ,82.34104046242776   ,50.0            ,88.4888562331619   ,36.0        ,72.0                         ,B
INTC      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,83.90776144413131  ,4.0         ,60.7                         ,C
TMO       ,Health Care           ,United States and Canada   ,96.33701787394168 ,100.0               ,50.0            ,77.96702301141511  ,36.0        ,76.2                         ,B
APP       ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,0.0                ,0.0         ,47.5                         ,D
CRM       ,Information Technology,United States and Canada   ,92.88225748287053 ,100.0               ,50.0            ,93.42302431900784  ,4.0         ,72.8                         ,B
PODD      ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,60.542533289314406 ,0.0         ,56.6                         ,C
MCD       ,Consumer Discretionary,United States and Canada   ,70.40243331773515 ,29.13833992094862   ,50.0            ,100.0              ,72.0        ,60.7                         ,C
SHOP      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,96.75261002480244  ,0.0         ,62.0                         ,C
ENVX      ,Industrials           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,73.90938251804332  ,0.0         ,58.6                         ,C
ABT       ,Health Care           ,United States and Canada   ,76.91517296495034 ,34.20870425321464   ,50.0            ,89.3349477742288   ,52.0        ,59.0                         ,C
TMUS      ,Communication Services,United States and Canada   ,83.83884092167091 ,85.735              ,50.0            ,37.93535360079472  ,4.0         ,58.7                         ,C
LIN       ,Materials             ,Europe                     ,82.00701025574452 ,36.62337662337662   ,50.0            ,80.91487709346299  ,100.0       ,66.8                         ,B
DIS       ,Communication Services,United States and Canada   ,91.63263411917579 ,100.0               ,50.0            ,86.78934143021672  ,12.0        ,72.7                         ,B
ISRG      ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,99.70557867905656  ,0.0         ,62.5                         ,C
PEP       ,Consumer Staples      ,United States and Canada   ,64.93313521545319 ,17.97669491525424   ,50.0            ,12.40438060646084  ,100.0       ,47.6                         ,D
