ticker     ,sector                ,region                     ,payout_score,fcf_coverage_score,div_growth_score,balance_sheet_score,dividend_sustainability_score,sustainability_grade
KEMPOWR    ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BAG        ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
JST        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ARJOB      ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
KCO        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
AGY        ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
RIVP       ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
CSN        ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
KIN        ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BERGB      ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
SFL        ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
HARVIA     ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ASE        ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ETL        ,Communication Services,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
SQZ        ,Energy                ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
CRW        ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
SPI        ,Health Care           ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
AVIO       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PNE3       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
VOLO       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
GPP        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
MCAP       ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
COXG       ,Utilities             ,Europe                     ,0           ,5                 ,0               ,10                 ,15                           ,F
ETS        ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
SAVE       ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
MOON       ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
MLP        ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
TRST       ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PLEJD      ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
DOM        ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ALVDM      ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
SVEAF      ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
MUM        ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
QUEST      ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
CTY1S      ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,10                 ,10                           ,F
SMHN       ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BSLN       ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
CBF        ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ALFA       ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BOKU       ,Financials            ,United States and Canada   ,0           ,5                 ,0               ,25                 ,30                           ,F
IVA        ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
AML        ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
GVS        ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
TGHN       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
MTU        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
APN        ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PEY        ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
YIT        ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
MPE        ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
GSF        ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
RAYB       ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
CS         ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
PON1V      ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
AUB        ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ACOMO      ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ASC        ,Utilities             ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
GCP        ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
PE         ,Utilities             ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
ADMIE      ,Utilities             ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
THEP       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
