fold,mae,rmse,r2,n_test
1,63.262014043998455,342.20905281978224,0.7253420359640288,1172
2,91.23974508774563,249.73164372628187,0.9632102845136093,1172
3,22.219594281663557,75.02720140172225,0.9916253449943055,1172
4,6.041182346367013,18.03179876077562,0.9952786866494602,1172
5,40.850762269254446,132.51634230714217,0.9904506190301894,1172
