ticker    ,name                                                                                   ,industry                                             ,region                     ,market_cap   ,piotroski_f_score,long_term_trend_score,dilution_score    ,distress_risk_score,cash_runway_months ,net_income_growth_yoy,cash_flow_quality_score,fcf_yield          ,eps_cont_vs_total_eps,discontinued_ops_impact,rnd_intensity_ltm  ,high_rnd_intensity_flag,inventory_days     ,inventory_turnover_mv,goodwill_concentration,recent_acquisition_flag,tangible_book_value_ltm,tbv_yoy_growth     ,marketing_to_revenue,sga_vs_5y_avg      ,capex_yoy_growth   ,capex_vs_5y_avg   ,underinvestment_flag,acquisitions_ltm_total,serial_acquirer_flag,ma_intensity_score,total_investment_to_cfo,organic_vs_inorganic,investment_efficiency
OSK       ,Oshkosh Corporation                                                                    ,Machinery                                            ,United States and Canada   ,9194.02      ,4                ,0.5050626535782622   ,52.782875714264605,100.0              ,0.6075276192084076 ,-5.048429703551512   ,100                    ,6.217084583239976  ,1.0                  ,0.0                    ,0.0                ,0                      ,100.76075459416737 ,3.6224421052631577   ,31.963359452599047    ,0                      ,2347.6                 ,0.0                ,0.0                 ,1.0602899481089179 ,-24.626334519572957,1.16690352123796  ,0                   ,0.9                   ,1                   ,0.0089353083674198,0.2715088077610416     ,235.33333333333331  ,-0.7653492418593089
PH        ,Parker-Hannifin Corporation                                                            ,Machinery                                            ,United States and Canada   ,119675.47    ,7                ,1.31872478729984     ,51.831548831232745,100.0              ,0.3198501872659176 ,24.156118143459917   ,100                    ,2.790045445403306  ,1.0                  ,0.0                    ,0.0                ,0                      ,89.85317088409872  ,4.062182741116751    ,77.85614525139664     ,0                      ,-4448.0                ,1.4135886912904696 ,0.0                 ,1.1978875960671505 ,8.75               ,1.0986442262739597,0                   ,1013.0                ,0                   ,3.320114057225263 ,0.3782411120021384     ,0.3968410661401776  ,-0.2
SYK       ,Stryker Corporation                                                                    ,Health Care Equipment and Supplies                   ,United States and Canada   ,135492.7     ,5                ,0.1917916121824736   ,49.345818280818015,100.0              ,2.064025356576862  ,-5.434439178515008   ,75                     ,3.006066009460288  ,1.0                  ,0.0                    ,6.443542102456831  ,0                      ,229.9988265665337  ,1.5869646182495345   ,88.3910947899931      ,0                      ,-3316.0                ,-963.5416666666665 ,0.0                 ,1.1939903687181739 ,31.30434782608696  ,1.2388208015899305,0                   ,4980.0                ,1                   ,10.5829100877659  ,1.187706953642384      ,0.1524096385542168  ,2.1730569948186527
DOW       ,Dow Inc.                                                                               ,Chemicals                                            ,United States and Canada   ,19479.76     ,3                ,-0.4263491571042469  ,47.90307512392068 ,0.0                ,1.1502637528259232 ,-335.0358422939068   ,0                      ,-8.234187690197414 ,1.0                  ,0.0                    ,1.8815052041633304 ,0                      ,64.3027915052758   ,5.6762699014404845   ,45.53133203972149     ,0                      ,6544.0                 ,0.0                ,0.0                 ,1.0383484440088213 ,-19.339045287637695,0.9441493444686664,0                   ,0.0                   ,0                   ,0.0               ,2.554263565891473      ,                    ,-0.9167686658506732
LMT       ,Lockheed Martin Corporation                                                            ,Aerospace and Defense                                ,United States and Canada   ,142554.79    ,4                ,0.4782470523985691   ,53.38990602466157 ,100.0              ,0.7251983399568858 ,-5.978260869565217   ,100                    ,4.845856109079183  ,1.0                  ,0.0                    ,0.0                ,0                      ,19.07576858621661  ,19.13422247446084    ,168.3380449337896     ,0                      ,-8897.0                ,0.0                ,0.0                 ,5.227457719091977  ,-2.136498516320475 ,1.0876970423097705,0                   ,0.0                   ,0                   ,0.0               ,0.1927077246698609     ,                    ,2.376854599406528
RCIB      ,Rogers Communications Inc.                                                             ,Wireless Telecommunication Services                  ,United States and Canada   ,20864.99     ,2                ,0.0488827245114514   ,49.23072808182213 ,100.0              ,0.9661001480770132 ,316.4405936489512    ,50                     ,8.212656703885312  ,1.0                  ,0.0                    ,0.0                ,0                      ,16.88117206291753  ,21.621721444436123   ,82.48371465291271     ,0                      ,-22715.78              ,0.0                ,0.0                 ,0.0                ,-5.29595343291956  ,1.067838367987446 ,0                   ,3143.74               ,1                   ,4.7938087658017015,1.3239797478677495     ,0.8590945816129832  ,0.4673448159915027
CAT       ,Caterpillar Inc.                                                                       ,Machinery                                            ,United States and Canada   ,311318.75    ,4                ,1.327952187550925    ,53.07017721913645 ,100.0              ,2.121974556150112  ,-17.679762787249814  ,100                    ,2.3940093553632726 ,1.0                  ,0.0                    ,3.178031928272352  ,0                      ,143.55088807442908 ,2.542652329749104    ,24.960127591706534    ,0                      ,15756.0                ,0.0                ,0.0                 ,1.4840598053951428 ,33.312597200622086 ,1.7302287202496067,0                   ,0.0                   ,0                   ,0.0               ,0.3651077604565976     ,                    ,0.8646967340590979
HON       ,Honeywell International Inc.                                                           ,Industrial Conglomerates                             ,United States and Canada   ,144271.77    ,4                ,0.0741719164753954   ,52.362204365975295,100.0              ,4.86017320229639   ,-9.921121822962313   ,100                    ,3.758184986570831  ,0.941542288557214    ,5.845771144278607      ,4.839485070241975  ,0                      ,95.24965061618602  ,3.8320350535540406   ,136.5220207253886     ,0                      ,-12375.0               ,0.0                ,0.0                 ,1.3242403924198043 ,-15.292096219931272,1.1924245966799158,0                   ,2211.0                ,1                   ,2.983201781015989 ,0.4989076154806491     ,0.4459520578923563  ,-0.1051373954599761
RMD       ,ResMed Inc.                                                                            ,Health Care Equipment and Supplies                   ,United States and Canada   ,37523.94     ,7                ,0.1091031011583657   ,50.83211950758173 ,100.0              ,4.751457094052309  ,37.19770801704295    ,100                    ,4.712671430558731  ,1.0                  ,0.0                    ,6.449575835964545  ,0                      ,171.59005787395478 ,2.1271628701711767   ,49.73028428787537     ,0                      ,2630.07                ,7.073589760291818  ,0.0                 ,1.223171307220387  ,-9.652121455861653 ,1.53081581759886  ,0                   ,139.77                ,1                   ,1.6822834858907003,0.1352681629207218     ,0.8227087357802103  ,1.9793491327494417
DOV       ,Dover Corporation                                                                      ,Machinery                                            ,United States and Canada   ,27777.64     ,4                ,0.2799041176715456   ,50.028239991837424,100.0              ,2.994655621717434  ,-59.43984902470404   ,100                    ,4.007935879361962  ,1.0025031289111388   ,-0.2503128911138923    ,0.0                ,0                      ,95.30705317577551  ,3.8297270541648984   ,73.32729254133238     ,0                      ,215.55                 ,0.0                ,0.0                 ,1.2276294728145816 ,31.474959708708887 ,1.1522442377678932,0                   ,663.27                ,1                   ,4.941508312211956 ,0.6625249328874158     ,0.3320819575738387  ,0.4318136522172396
AAPL      ,Apple Inc.                                                                             ,Technology Hardware Storage and Peripherals          ,United States and Canada   ,3794637.05   ,3                ,0.4619409159007359   ,53.32942935202439 ,100.0              ,1.5231057782989712 ,19.495177946573357   ,75                     ,2.602804924386642  ,1.0                  ,0.0                    ,8.302075398703867  ,0                      ,9.445465242577841  ,38.64288212661769    ,0.0                   ,0                      ,73733.0                ,0.0                ,0.0                 ,1.1330060347682385 ,34.59299248438658  ,1.200785214267195 ,0                   ,0.0                   ,0                   ,0.0               ,0.1140542867906926     ,                    ,2.6596803217952787
BIP       ,Brookfield Infrastructure Partners L.P.                                                ,Multi-Utilities                                      ,Latin America and Caribbean,16961.72     ,4                ,0.0850289979816928   ,50.11501468962622 ,100.0              ,2.2200901629869376 ,506.7567567567568    ,25                     ,-41.28708645113821 ,1.0                  ,0.0                    ,0.0                ,0                      ,0.0                ,                     ,0.0                   ,0                      ,-30086.0               ,0.0                ,0.0                 ,1.1001737116386798 ,160.78391959798995 ,7.322682455410662 ,0                   ,0.0                   ,1                   ,0.0               ,2.172835370959638      ,                    ,0.2748732995465457
TSCO      ,Tractor Supply Company                                                                 ,Specialty Retail                                     ,United States and Canada   ,26927.45     ,4                ,0.1440224932244253   ,51.084137804695494,100.0              ,0.1657093505854164 ,-0.4676546438560168  ,100                    ,2.749944758972721  ,1.0                  ,0.0                    ,0.0                ,0                      ,114.05727622563968 ,3.200146558628315    ,0.0                   ,0                      ,2182.54                ,0.0                ,0.0                 ,1.1483778393890751 ,14.121548370639628 ,1.4057487692552009,0                   ,139.9                 ,0                   ,1.2795326001858476,0.6327250712424936     ,6.39578270192995    ,0.8173203239589311
TMO       ,Thermo Fisher Scientific Inc.                                                          ,Life Sciences Tools and Services                     ,United States and Canada   ,222479.28    ,4                ,0.0631038181587397   ,51.77573890046848 ,100.0              ,3.243723763272697  ,5.824782951854775    ,100                    ,2.8285780140964136 ,1.0                  ,0.0                    ,3.1353801957087706 ,0                      ,76.01831234643734  ,4.80147465437788     ,92.20165493023516     ,0                      ,-11785.0               ,0.0                ,0.0                 ,0.4784805562458279 ,8.928571428571427  ,1.0009255871020515,0                   ,4037.0                ,1                   ,3.65859184542744  ,0.711435149654643      ,0.3777557592271488  ,0.3700353045013239
KLAC      ,KLA Corporation                                                                        ,Semiconductors and Semiconductor Equipment           ,United States and Canada   ,221357.99    ,8                ,2.6500624965868087   ,52.41207232762585 ,100.0              ,3.202390289653962  ,47.059632861435965   ,100                    ,1.7494511944204048 ,1.0                  ,0.0                    ,11.159488099952732 ,1                      ,248.2800551210828  ,1.4701140605998113   ,35.92768005263717     ,0                      ,2796.68                ,13.895914020533748 ,0.0                 ,1.1643580642368625 ,22.65123657076934  ,1.263206428665525 ,0                   ,0.0                   ,1                   ,0.0               ,0.0884385607283923     ,                    ,8.339536042126237
SHW       ,The Sherwin-Williams Company                                                           ,Chemicals                                            ,United States and Canada   ,87392.14     ,2                ,0.2648904258701727   ,51.80364668879357 ,100.0              ,0.1259344800340363 ,-4.21048705899903    ,0                      ,0.0                ,1.0                  ,0.0                    ,0.0                ,0                      ,70.1680930109132   ,5.201794495729445    ,174.7732857795272     ,0                      ,-7404.4                ,0.0                ,0.0                 ,1.1414158082081989 ,-100.0             ,0.0               ,1                   ,0.0                   ,1                   ,0.0               ,                       ,                    ,0.4141352598137348
