category                 ,feature                     ,count,mean                  ,median              ,std                   ,min                ,q25                  ,q75                  ,max               ,positive_pct        ,missing_pct
Valuation Ratios         ,p_e_ratio                   ,5023 ,41.051960979494325    ,24.3                ,53.53069683295571     ,0.0                ,15.2                 ,42.6                 ,495.6             ,99.98009157873781   ,21.735743222187597
Valuation Ratios         ,p_b_ratio                   ,6222 ,5.489296046287366     ,2.7                 ,11.839475185151187    ,0.1                ,1.5                  ,5.4                  ,275.7             ,100.0               ,3.0539108756622
Valuation Ratios         ,ev_ebitda_ratio             ,5754 ,20.80618700034758     ,11.6                ,34.55290438968978     ,0.2                ,7.7                  ,19.4                 ,490.1             ,100.0               ,10.345902150202555
Valuation Ratios         ,ev_sales_ratio              ,6254 ,6.513271506236009     ,2.3                 ,24.58782845081266     ,0.0                ,1.1                  ,4.9                  ,493.1             ,99.92005116725295   ,2.5553131816765347
Valuation Ratios         ,peg_ratio                   ,4176 ,0.13040784603149577   ,0.2785361662220614  ,13.829919968298167    ,-194.9038761920432 ,-1.6753507847461413  ,1.8229967760197523   ,355.64299098208846,55.12452107279694   ,34.93300093487068
Valuation Ratios         ,ev_sales_trend_1y           ,5960 ,0.5071642448345477    ,0.0909090909090909  ,3.249206975664067     ,-1.0               ,-0.15718298555377203 ,0.5                  ,130.5             ,55.88926174496645   ,7.136179495169835
Valuation Ratios         ,ev_ebitda_momentum          ,5460 ,1.235225759227653     ,0.0706722605134352  ,27.01838785518455     ,-0.996774193548387 ,-0.1928384186504504  ,0.4758437355524734   ,1424.0            ,56.31868131868132   ,14.926768463695856
Valuation Ratios         ,p_e_momentum_yoy            ,4784 ,0.8468109339023457    ,0.1829232731911791  ,3.7249675987871806    ,-1.0               ,-0.19487273022049278 ,0.8148782343987823   ,113.6             ,61.53846153846154   ,25.459644749143035
Valuation Ratios         ,p_e_momentum_qoq            ,4985 ,0.3924425937324865    ,0.1689497716894977  ,1.4970757813708215    ,-1.0               ,-0.0485436893203883  ,0.4966565349544072   ,71.25             ,69.46840521564694   ,22.327827983795576
Valuation Ratios         ,ev_sales_vs_3y_avg          ,5835 ,0.19228770730147374   ,0.0714285714285714  ,0.5844847303495678    ,-1.0               ,-0.1111111111111111  ,0.3333333333333333   ,8.75              ,55.13281919451585   ,9.08382673730134
Valuation Ratios         ,ev_ebitda_vs_3y_avg         ,5332 ,0.16249826923965527   ,0.048780487804878   ,0.6179305063263141    ,-0.9857881136950905,-0.14895378328871348 ,0.3149154589371981   ,13.361702127659575,56.451612903225815  ,16.921159239638516
Valuation Ratios         ,p_e_vs_3y_avg               ,4662 ,0.3113076541227482    ,0.12381007587175225 ,0.8996258066915679    ,-1.0               ,-0.152502017756255   ,0.49451941866145577  ,12.834394904458598,61.75461175461175   ,27.360548457463384
Valuation Ratios         ,ev_sales_forward_discount   ,6111 ,-0.04961512250810032  ,-0.0789473684210526 ,1.445259763444338     ,-0.9842839036755386,-0.1538461538461538  ,0.0                  ,105.5             ,9.21289477990509    ,4.7834216266749765
Valuation Ratios         ,ev_ebitda_forward_discount  ,5581 ,-0.09154586846679837  ,-0.1375             ,1.477509524175715     ,-0.983068783068783 ,-0.27                ,-0.0288461538461538  ,99.63636363636365 ,19.440960401361764  ,13.04144593331256
Valuation Ratios         ,p_e_forward_discount        ,4764 ,-0.1009666433948709   ,-0.1910112359550561 ,0.9600275451111056    ,-1.0               ,-0.3800581395348837  ,-0.0320953893201599  ,26.7              ,21.70445004198153   ,25.77126830788408
Valuation Ratios         ,p_b_vs_5y_avg               ,5257 ,1.1827271452711028    ,1.0                 ,0.8813211552241121    ,0.0305676855895196 ,0.7307692307692307   ,1.3636363636363635   ,15.970588235294116,100.0               ,18.089747584917422
Valuation Ratios         ,ev_sales_qoq_1q             ,6181 ,0.44609508257638114   ,0.0833333333333333  ,9.321936134210553     ,-1.0               ,-0.0666666666666666  ,0.3333333333333333   ,678.5             ,57.75764439411098   ,3.6927391710813335
Valuation Ratios         ,p_b_momentum_yoy            ,5956 ,0.5970949677825278    ,0.097560975609756   ,3.538624601387629     ,-0.9967707212055974,-0.2                 ,0.5625               ,145.41666666666666,55.171255876427125  ,7.1985042069180425
Valuation Ratios         ,forward_pe_premium          ,4764 ,-10.096664339487091   ,-19.101123595505616 ,96.00275451111055     ,-100.0             ,-38.00581395348837   ,-3.209538932015996   ,2670.0            ,21.70445004198153   ,25.77126830788408
Valuation Ratios         ,price_to_tangible_book      ,5147 ,9.925840295317661     ,3.9                 ,26.059797536753283    ,0.2                ,2.0                  ,8.6                  ,479.3             ,100.0               ,19.803677157993143
Valuation Ratios         ,tangible_equity_ratio       ,6234 ,29.084052595258495    ,30.92808918431816   ,35.14361094543857     ,-708.6255750891197 ,8.543466406013469    ,52.80640706588517    ,99.98070801581943 ,81.74526788578763   ,2.8669367404175756
Valuation Ratios         ,tangible_book_per_share     ,6418 ,1.1445176447597957e-05,1.6645642273e-06    ,0.00024699363490395974,-0.0006366849781438,2.69733945425e-07    ,7.2471194712e-06     ,0.0192562560738581,81.53630414459333   ,0.0
Momentum & Technical     ,price_momentum_1m           ,6409 ,6.262090330646827     ,3.508771929824561   ,16.76854654582454     ,-72.70168855534709 ,-2.7562446167097328  ,11.84931506849315    ,302.8089887640449 ,64.14417225776252   ,0.14023060143346838
Momentum & Technical     ,price_momentum_3m           ,6396 ,8.896296797488471     ,4.286612805294334   ,34.60040519932301     ,-73.16636851520573 ,-6.25                ,17.814138738392806   ,1566.6666666666665,60.00625390869293   ,0.3427859146151449
