feature                     ,count,mean                 ,median             ,std               ,min                ,max               ,missing_pct
eps_adjustment_ratio        ,3415 ,0.7678299523831041   ,1.0                ,4.848280429972979 ,-127.85714285714285,55.33333333333333 ,46.79027734496728
eps_adjustment_pct          ,3415 ,78.35806650150067    ,1.7857142857142856 ,479.01527472077055,-1541.6666666666665,12885.714285714284,46.79027734496728
eps_adjustment_spread_ltm   ,3449 ,0.5454914467961728   ,0.01               ,3.8887179753588046,-105.69            ,66.97             ,46.26051729510751
ni_adjustment_ratio         ,6413 ,0.19126487724734242  ,0.2084390200232759 ,17.10528486290079 ,-1010.0            ,403.9347826086957 ,0.0779058896852602
net_income_adjustment_pct   ,6413 ,57.44404164627447    ,-0.4750820422803938,1711.475654191358 ,-2589.8876404494385,101100.0          ,0.0779058896852602
ebitda_adjustment_ratio     ,6382 ,0.6968999692353302   ,0.5197335319124409 ,9.28691993096065  ,-148.5920365535248 ,684.0             ,0.5609224057338735
ebitda_adjustment_pct_fy    ,6390 ,50.49995386859103    ,6.973511894722244  ,559.922303896985  ,-1173.0248306997742,28300.0           ,0.43627298223745714
earnings_quality_score      ,6418 ,80.74730384553959    ,100.0              ,32.950598395640164,0.0                ,100.0             ,0.0
gaap_revision_momentum      ,6418 ,0.034649132907447804 ,0.0                ,0.4339823274930194,-0.997175          ,11.566755         ,0.0
gaap_vs_norm_revision_spread,4261 ,-0.004625486974888525,0.0                ,0.5497867570121551,-15.052            ,11.3536           ,33.60860081022125
