"Date"   ;"D0";"D1"    ;"Value"
"2019-03";"M0";"SGD1"  ;"0.73896"
"2019-03";"M0";"THB100";"3.15437"
"2019-03";"M0";"XDR1"  ;"1.3919"
"2019-03";"M0";"USD3M" ;"0.992"
"2019-03";"M0";"USD6M" ;"0.9834"
"2019-03";"M1";"EUR1"  ;"1.11686"
"2019-03";"M1";"GBP1"  ;"1.29689"
"2019-03";"M1";"DKK100";"14.96248"
"2019-03";"M1";"NOK100";"11.51312"
"2019-03";"M1";"CZK100";"4.32701"
"2019-03";"M1";"HUF100";"0.34814"
"2019-03";"M1";"PLN100";"25.96658"
"2019-03";"M1";"RUB1"  ;"0.01539"
"2019-03";"M1";"SEK100";"10.72478"
"2019-03";"M1";"TRY100";"17.66177"
"2019-03";"M1";"USD1"  ;"0.996"
"2019-03";"M1";"CAD1"  ;"0.74126"
"2019-03";"M1";"ARS1"  ;"0.0228"
"2019-03";"M1";"BRL100";"25.52537"
"2019-03";"M1";"MXN100";"5.15584"
"2019-03";"M1";"ZAR1"  ;"0.06851"
"2019-03";"M1";"JPY100";"0.89896"
"2019-03";"M1";"AUD1"  ;"0.70542"
"2019-03";"M1";"CNY100";"14.82915"
"2019-03";"M1";"HKD100";"12.6879"
"2019-03";"M1";"KRW100";"0.08772"
"2019-03";"M1";"MYR100";"24.40339"
"2019-03";"M1";"NZD1"  ;"0.67623"
"2019-03";"M1";"SGD1"  ;"0.73451"
"2019-03";"M1";"THB100";"3.1381"
"2019-03";"M1";"XDR1"  ;"1.3823"
"2019-04";"M0";"EUR1"  ;"1.13157"
"2019-04";"M0";"GBP1"  ;"1.31258"
"2019-04";"M0";"DKK100";"15.1587"
"2019-04";"M0";"NOK100";"11.75357"
"2019-04";"M0";"CZK100";"4.40673"
"2019-04";"M0";"HUF100";"0.35232"
"2019-04";"M0";"PLN100";"26.38761"
"2019-04";"M0";"RUB1"  ;"0.01557"
"2019-04";"M0";"SEK100";"10.79728"
"2019-04";"M0";"TRY100";"17.4621"
"2019-04";"M0";"USD1"  ;"1.00654"
"2019-04";"M0";"CAD1"  ;"0.75244"
"2019-04";"M0";"ARS1"  ;"0.02341"
"2019-04";"M0";"BRL100";"25.84738"
"2019-04";"M0";"MXN100";"5.29991"
"2019-04";"M0";"ZAR1"  ;"0.07112"
"2019-04";"M0";"JPY100";"0.90186"
"2019-04";"M0";"AUD1"  ;"0.7159"
"2019-04";"M0";"CNY100";"14.98483"
"2019-04";"M0";"HKD100";"12.83025"
"2019-04";"M0";"KRW100";"0.08805"
"2019-04";"M0";"MYR100";"24.47243"
"2019-04";"M0";"NZD1"  ;"0.67682"
"2019-04";"M0";"SGD1"  ;"0.74233"
"2019-04";"M0";"THB100";"3.16023"
"2019-04";"M0";"XDR1"  ;"1.39802"
"2019-04";"M0";"USD3M" ;"0.9985"
"2019-04";"M0";"USD6M" ;"0.9899"
"2019-04";"M1";"EUR1"  ;"1.141"
"2019-04";"M1";"GBP1"  ;"1.32087"
"2019-04";"M1";"DKK100";"15.28399"
"2019-04";"M1";"NOK100";"11.79281"
