ticker,name,region,country,exchange,sector,industry,last_price,pt_median,pt_spread,expected_upside_pct,upside_std,var_5_pct,prob_positive_upside,risk_reward_ratio,price_target_mc
SWON,SoftwareOne Holding AG,Europe,CH,SWX,Information Technology,Electronic Equipment Instruments and Components,6.605,9.6,7.0,54.52207135813916,21.91072860651942,20.358430783223902,100.0,2.4883732685145126,10.206182813205093
UPM,UPM-Kymmene Oyj,Europe,FI,HLSE,Materials,Paper and Forest Products,26.81,25.15,11.0,-2.896666263243385,8.44597598571625,-16.028334242741824,35.432,-0.34296406574470467,26.033403774824446
YCA,Yellow Cake plc,Europe,JE,AIM,Energy,Oil Gas and Consumable Fuels,6.54,7.3753,3.6261,18.95138950988144,11.468058670098939,1.6034604479131458,97.00999999999999,1.6525368464755108,7.779420873946247
EDPR,EDP Renováveis S.A.,Europe,ES,ENXTLS,Utilities,Independent Power and Renewable Electricity Producers,13.2,13.5,9.0,-7.859981309023548,14.35079170010413,-34.19584302864726,34.211999999999996,-0.5477036719142482,12.162482467208891
CWK,Cranswick plc,Europe,GB,LSE,Consumer Staples,Food Products,54.1,59.275,7.0,8.596412236199177,2.6580970501127665,3.9252090153689414,100.0,3.234047543837605,58.75065901978376
SAX,Ströer SE & Co. KGaA,Europe,DE,XTRA,Consumer Staples,Media,33.8,54.5,52.6,79.62386603660191,32.35273199996141,30.59940281439176,100.0,2.461117226103097,60.71286672037144
BRE,Brembo N.V.,Europe,IT,BIT,Consumer Discretionary,Automobile Components,10.34,10.0,4.0,3.1641407790752396,8.212631026073094,-8.564670138547887,58.952000000000005,0.3852773574059113,10.66717215655638
WPP,WPP plc,Europe,GB,LSE,Consumer Staples,Media,2.7,3.5,2.5999999999999996,37.069537041186855,19.892424169159423,5.887705658311481,98.44000000000001,1.8635002313422553,3.7008775001120453
JMT,Jerónimo Martins SGPS S.A.,Europe,PT,ENXTLS,Consumer Staples,Consumer Staples Distribution and Retail,22.1,25.05,8.0,13.16018808151382,7.3211270414207394,0.8430334917285384,96.296,1.7975631357108577,25.008401566014555
ICOP,I.CO.P. S.p.A. Società Benefit,Europe,IT,BIT,Industrials,Construction and Engineering,22.0,21.0,0.5,-5.303155697198453,0.5339119871857673,-6.313163013371886,0.0,-9.932640256217535,20.83330574661634
