ticker    ,name                                                            ,country,exchange,sector                ,industry                                             ,kalman_estimate   ,kalman_variance    ,kalman_gain       ,signal_strength   ,original_price,original_target,filtered_upside
COLR      ,Colruyt Group N.V.                                              ,BE     ,ENXTBR  ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,37.28909282642885 ,0.09090917355296778,0.9090917355296769,10.999989988000012,35.18         ,37.5           ,5.995147317876206
4324      ,Dentsu Group Inc.                                               ,JP     ,TSE     ,Communication Services,Media                                                ,3359.3185516495305,0.09090917355296778,0.9090917355296769,10.999989988000012,2952.5        ,3400.0         ,13.778782443675885
2181      ,Persol Holdings Co.Ltd.                                         ,JP     ,TSE     ,Industrials           ,Professional Services                                ,314.50004999954547,0.09090917355296778,0.9090917355296769,10.999989988000012,259.5         ,320.0          ,21.19462427728149
6465      ,Hoshizaki Corporation                                           ,JP     ,TSE     ,Industrials           ,Machinery                                            ,6595.546358669467 ,0.09090917355296778,0.9090917355296769,10.999989988000012,5601.0        ,6695.0         ,17.75658558595727
9364      ,Kamigumi Co. Ltd.                                               ,JP     ,TSE     ,Industrials           ,Transportation Infrastructure                        ,5502.363614876228 ,0.09090917355296778,0.9090917355296769,10.999989988000012,5526.0        ,5500.0         ,-0.4277304582658707
TOM       ,Tomra Systems ASA                                               ,NO     ,OB      ,Industrials           ,Machinery                                            ,145.9412941282352 ,0.09090917355296778,0.9090917355296769,10.999989988000012,122.4         ,148.2954       ,19.23308343810065
ALKEM     ,Alkem Laboratories Limited                                      ,IN     ,NSEI    ,Health Care           ,Pharmaceuticals                                      ,6082.046072308433 ,0.09090917355296778,0.9090917355296769,10.999989988000012,5402.5        ,6150.0         ,12.578363207930279
9147      ,Nippon Express Holdings Inc.                                    ,JP     ,TSE     ,Industrials           ,Air Freight and Logistics                            ,3695.5454950409544,0.09090917355296778,0.9090917355296769,10.999989988000012,3651.0        ,3700.0         ,1.2200902503685127
GMRAIRPORT,GMR Airports Limited                                            ,IN     ,NSEI    ,Industrials           ,Transportation Infrastructure                        ,111.7300160907628 ,0.09090917355296778,0.9090917355296769,10.999989988000012,94.03         ,113.5          ,18.823796757165585
ADPORTS   ,Abu Dhabi Ports Company PJSC                                    ,AE     ,ADX     ,Industrials           ,Transportation Infrastructure                        ,6.8445468677557475,0.09090917355296778,0.9090917355296769,10.999989988000012,5.29          ,7.0            ,29.386519239239085
A298380   ,ABL Bio Inc.                                                    ,KR     ,KOSDAQ  ,Health Care           ,Biotechnology                                        ,189490.91371896619,0.09090917355296778,0.9090917355296769,10.999989988000012,184400.0      ,190000.0       ,2.760799196836326
9007      ,Odakyu Electric Railway Co. Ltd.                                ,JP     ,TSE     ,Industrials           ,Ground Transportation                                ,1792.8182471068444,0.09090917355296778,0.9090917355296769,10.999989988000012,1721.0        ,1800.0         ,4.173053289183289
NH        ,Narayana Hrudayalaya Limited                                    ,IN     ,NSEI    ,Health Care           ,Health Care Providers and Services                   ,1992.7092480977444,0.09090917355296778,0.9090917355296769,10.999989988000012,1819.8        ,2010.0         ,9.50155226386111
1860      ,Toda Corporation                                                ,JP     ,TSE     ,Industrials           ,Construction and Engineering                         ,1211.7724384323778,0.09090917355296778,0.9090917355296769,10.999989988000012,1529.5        ,1180.0         ,-20.7732959508089
A082740   ,Hanwha Engine Co. Ltd.                                          ,KR     ,KOSE    ,Industrials           ,Machinery                                            ,63090.91735529677 ,0.09090917355296778,0.9090917355296769,10.999989988000012,54000.0       ,64000.0        ,16.835032139438464
FORTIS    ,Fortis Healthcare Limited                                       ,IN     ,NSEI    ,Health Care           ,Health Care Providers and Services                   ,1076.9774183871054,0.09090917355296778,0.9090917355296769,10.999989988000012,916.75        ,1093.0         ,17.477765845334655
7272      ,Yamaha Motor Co. Ltd.                                           ,JP     ,TSE     ,Consumer Discretionary,Automobiles                                          ,1062.2726157034936,0.09090917355296778,0.9090917355296769,10.999989988000012,1185.0        ,1050.0         ,-10.356741290844425
5020      ,ENEOS Holdings Inc.                                             ,JP     ,TSE     ,Energy                ,Oil Gas and Consumable Fuels                         ,1234.136189671003 ,0.09090917355296778,0.9090917355296769,10.999989988000012,1425.5        ,1215.0         ,-13.42432903044525
