ticker,name,region,country,exchange,sector,industry,expected_upside_pct,price_target_mc,var_5_pct,risk_reward_ratio,prob_positive_upside,filtered_upside,kalman_estimate,kalman_variance,expected_return_prob_weighted,achievement_probability,price_target_prob_weighted,confidence_level,analyst_conviction,eps_revision_momentum,analyst_rating_normalized,mc_bullish,kal_bullish,pt_bullish,agreement_score,signal
TLO,Talon Metals Corp.,Latin America and Caribbean,VG,TSX,Materials,Metals and Mining,297.1431430923535,29.78573573192651,23.649908528346412,1.4234578988050375,100.0,203.03048760162787,22.72728657012209,0.09090917355296778,2.8333333333333335,0.85,7.7125,Low,100.0,0.0,93.75,True,True,True,3,Strong Bullish (3/3)
NVM,Novem Group S.A.,Europe,LU,XTRA,Consumer Discretionary,Automobile Components,267.5671219806285,10.806473386230477,28.435537818444985,1.457561328332528,99.992,243.0428925599749,10.085461041263262,0.09090917355296778,11.61904761904762,0.6100000000000001,3.2816,Low,66.66666666666667,-0.03231,83.25,True,True,True,3,Strong Bullish (3/3)
TLEVISACPO,Grupo Televisa S.A.B.,Latin America and Caribbean,MX,BMV,Communication Services,Diversified Telecommunication Services,121.85041204041451,25.53498242585171,4.682777449383927,1.3486073358662736,97.048,70.74250171693011,19.652461947618654,0.09090917355296778,2.8523023457862724,0.6699999999999999,11.838299999999998,Low,33.333333333333336,0.04544,62.5,True,True,True,3,Strong Bullish (3/3)
BHIA3,Grupo Casas Bahia S.A.,Latin America and Caribbean,BR,BOVESPA,Consumer Discretionary,Specialty Retail,65.47698914059264,4.881571179647483,-0.048508359439290244,1.3102861785727915,94.96,29.27583555095568,3.813637148753193,0.09090917355296778,3.4576271186440675,0.6799999999999999,3.052,Low,50.0,0.0,28.25,True,True,True,3,Strong Bullish (3/3)
FRVIA,Forvia SE,Europe,FR,ENXTPA,Consumer Discretionary,Automobile Components,64.77264844276421,20.975558146763884,-2.577399685756873,1.2801844395203554,93.552,17.88618350987925,15.006911160807629,0.09090917355296778,6.484681853888452,0.6499999999999999,13.555499999999999,Low,23.076923076923077,-0.05104,57.75,True,True,True,3,Strong Bullish (3/3)
TUPY3,Tupy S.A.,Latin America and Caribbean,BR,BOVESPA,Industrials,Machinery,61.62479719467752,20.671811561199252,9.75244319062237,1.5505672609681855,100.0,28.739097844152816,16.465730614267144,0.09090917355296778,5.960125097732603,0.6299999999999999,13.552299999999999,Low,11.11111111111111,0.0,50.0,True,True,True,3,Strong Bullish (3/3)
BIOA,BioAge Labs Inc.,United States and Canada,US,NasdaqGS,Health Care,Pharmaceuticals,56.20266800059579,33.3492696181272,-9.577344496477256,1.1680991715733213,89.29,51.02538170666405,32.24391899437278,0.09090917355296778,5.40983606557377,0.7,22.505000000000003,Low,50.0,0.0,75.0,True,True,True,3,Strong Bullish (3/3)
SMTO3,São Martinho S.A.,Latin America and Caribbean,BR,BOVESPA,Consumer Staples,Food Products,45.80297534588276,23.926268254259362,2.042816995484991,1.398812458392489,96.602,28.228932648171995,21.042367847565025,0.09090917355296778,6.588665447897623,0.6799999999999999,17.4912,Low,30.0,-0.32065,58.25,True,True,True,3,Strong Bullish (3/3)
BBWI,Bath & Body Works Inc.,United States and Canada,US,NYSE,Consumer Discretionary,Specialty Retail,42.13725998330306,32.00931094823985,-9.63054480370442,1.1051611157841883,86.71799999999999,10.321743599359813,24.84445665857583,0.09090917355296778,1.3214920071047958,0.62,22.8176,Low,25.0,-0.041135,62.5,True,True,True,3,Strong Bullish (3/3)
RES,RPC Inc.,United States and Canada,US,NYSE,Energy,Energy Equipment and Services,40.778690007186654,8.362254186426888,-4.365124538508315,1.2029924720882132,90.498,21.033076972027523,7.189364772138435,0.09090917355296778,0.6868686868686869,0.6799999999999999,5.9808,Low,14.285714285714286,-0.16344,53.5,True,True,True,3,Strong Bullish (3/3)
TATATECH,Tata Technologies Limited,Asia / Pacific,IN,NSEI,Information Technology,IT Services,36.61014795342861,820.4122435343154,-6.894280146244548,1.167601154474992,89.17,11.205102488108647,667.8422429923364,0.09090917355296778,5.1821663475147774,0.6699999999999999,631.6714999999999,Low,40.0,-0.058645,30.25,True,True,True,3,Strong Bullish (3/3)
XAR,Xaar plc,Europe,GB,LSE,Information Technology,Technology Hardware Storage and Peripherals,35.51354137594896,1.5990597882361977,22.912795318924836,3.8974967033862584,100.0,32.35750245105631,1.5618185289224644,0.09090917355296778,16.542372881355934,0.6100000000000001,1.3752,Medium,75.0,-0.09382,100.0,True,True,True,3,Strong Bullish (3/3)
SANOMA,Sanoma Oyj,Europe,FI,HLSE,Consumer Staples,Media,35.45442897655255,12.272171265275663,25.767567161163445,5.1427491983510984,100.0,30.30305785098922,11.805457041299624,0.09090917355296778,17.774834437086096,0.6100000000000001,10.6704,Medium,80.0,-0.012515,90.0,True,True,True,3,Strong Bullish (3/3)
NXR,Norcros plc,Europe,GB,LSE,Industrials,Building Products,34.63194695467718,4.712118143413702,13.105090615666294,2.1515714743736902,100.0,26.189634198130662,4.416637196934573,0.09090917355296778,10.971428571428572,0.64,3.884,Low,71.42857142857143,0.023205,100.0,True,True,True,3,Strong Bullish (3/3)
AVIO,Avio S.p.A.,Europe,IT,BIT,Industrials,Aerospace and Defense,34.27550804643494,46.79501455418258,6.450615254524227,1.6963920250802542,99.632,24.129407614489278,43.259098553649515,0.09090917355296778,10.048780487804878,0.68,38.352000000000004,Low,80.0,-0.053115,85.0,True,True,True,3,Strong Bullish (3/3)
603993,CMOC Group Limited,Asia / Pacific,CN,SHSE,Materials,Metals and Mining,34.03908192237916,29.461790206538943,19.360585249337067,3.2497072357076338,100.0,28.636389669184826,28.274278449286825,0.09090917355296778,15.880345768880801,0.65,25.4705,Low,100.0,0.144275,97.25,True,True,True,3,Strong Bullish (3/3)
688100,Willfar Information Technology Co. Ltd.,Asia / Pacific,CN,SHSE,Information Technology,Electronic Equipment Instruments and Components,33.12676603349171,55.95317976387657,23.95946918795835,4.850672182572095,100.0,30.137158883311077,54.69664787865565,0.09090917355296778,15.503211991434693,0.6000000000000001,48.54600000000001,Medium,100.0,0.008355,93.75,True,True,True,3,Strong Bullish (3/3)
WIZZ,Wizz Air Holdings Plc,Europe,HU,LSE,Industrials,Passenger Airlines,33.0410334912755,17.16229332037454,-18.772153411862742,0.9004666224775467,79.164,5.743486546175865,13.640909764456687,0.09090917355296778,0.7139922480620153,0.6499999999999999,12.992105,Low,9.090909090909092,-0.52239,46.5,True,True,True,3,Strong Bullish (3/3)
LGND,Ligand Pharmaceuticals Incorporated,United States and Canada,US,NasdaqGM,Health Care,Pharmaceuticals,32.51354069414358,243.3611174847947,23.281523160703436,5.145992099622503,100.0,29.59901708192525,238.00859487095573,0.09090917355296778,16.776476994282604,0.6000000000000001,214.46,Medium,88.88888888888889,0.03733,93.75,True,True,True,3,Strong Bullish (3/3)
PRMB,Primo Brands Corporation,United States and Canada,US,NYSE,Consumer Staples,Beverages,32.47173935190126,25.18287765079643,5.0798456426186736,1.7194956818601033,98.664,23.065871478065713,23.394822167980294,0.09090917355296778,12.851130983692796,0.7000000000000001,21.453000000000003,Low,76.92307692307692,-0.0285,78.75,True,True,True,3,Strong Bullish (3/3)
A207940,Samsung Biologics Co.Ltd.,Asia / Pacific,KR,KOSE,Health Care,Life Sciences Tools and Services,32.22791594151169,2270353.3167157555,21.01841215660341,4.322412773290083,100.0,28.2223473538867,2201577.7040662346,0.09090917355296778,16.878276062900408,0.6000000000000001,2006799.9999999998,Medium,100.0,-0.00045,90.5,True,True,True,3,Strong Bullish (3/3)
EXPO,Exponent Inc.,United States and Canada,US,NasdaqGS,Industrials,Professional Services,32.07457680136763,91.67296375782927,25.25788673345827,7.100494419063286,100.0,29.150528785712964,89.64338203016337,0.09090917355296778,20.171733179657114,0.68,83.4112,High,75.0,0.063725,81.25,True,True,True,3,Strong Bullish (3/3)
AYA,Aya Gold & Silver Inc.,United States and Canada,CA,TSX,Materials,Metals and Mining,31.44156056440102,33.63589534843022,18.755405793646357,3.7698957517427933,100.0,27.03046970417432,32.50709719729821,0.09090917355296778,17.564224306369677,0.65,30.084685,Medium,100.0,-0.01464,87.5,True,True,True,3,Strong Bullish (3/3)
AML,Aston Martin Lagonda Global Holdings plc,Europe,GB,LSE,Consumer Discretionary,Automobiles,31.20603994804442,0.7596829712991772,4.177588623115933,1.5019316211186853,100.0,17.00425474229087,0.6774546349578641,0.09090917355296778,2.3937823834196887,0.6599999999999999,0.5928599999999999,Low,9.090909090909092,0.0,54.5,True,True,True,3,Strong Bullish (3/3)
603236,Quectel Wireless Solutions Co. Ltd.,Asia / Pacific,CN,SHSE,Information Technology,Electronic Equipment Instruments and Components,31.074669067534657,112.00330471820837,16.603225461935,3.0595845099033045,100.0,28.24620898573777,109.58638557831293,0.09090917355296778,14.93212404915155,0.65,98.20950000000002,Low,80.0,0.0,80.0,True,True,True,3,Strong Bullish (3/3)
DOU,Douglas AG,Europe,DE,XTRA,Consumer Discretionary,Specialty Retail,30.936208569550285,15.581408819776485,7.065090329604765,1.8657028646005172,99.81400000000001,22.058843582705393,14.525002386341942,0.09090917355296778,11.92436974789916,0.66,13.319,Low,62.5,-0.03078,81.25,True,True,True,3,Strong Bullish (3/3)
NIC,Nickel Industries Limited,Asia / Pacific,AU,ASX,Materials,Metals and Mining,30.857761105807597,1.2496916185604625,-13.811355599711662,1.0482452404316034,84.576,21.104255263552822,1.1565456377669294,0.09090917355296778,10.93193717277487,0.7200000000000001,1.0594000000000001,Low,85.71428571428571,-0.00865,92.75,True,True,True,3,Strong Bullish (3/3)
2223,Saudi Aramco Base Oil Company - Luberef,Africa / Middle East,SA,SASE,Materials,Chemicals,30.611628072956808,123.68921178509011,26.438671028625496,11.783929913548974,100.0,27.671139679665195,120.90456927664295,0.09090917355296778,19.45881731784583,0.65,113.1275,High,100.0,-0.012135,93.75,True,True,True,3,Strong Bullish (3/3)
ATEN,A10 Networks Inc.,United States and Canada,US,NYSE,Information Technology,Software,30.24265828278169,24.667959478758856,20.289969031956808,4.602674522505481,100.0,25.887035149061283,23.843004457232208,0.09090917355296778,16.02956705385428,0.6000000000000001,21.976000000000003,Medium,71.42857142857143,0.04102,82.25,True,True,True,3,Strong Bullish (3/3)
CDRE,Cadre Holdings Inc.,United States and Canada,US,NYSE,Industrials,Aerospace and Defense,30.234129805922247,55.01089643002155,21.5650834247908,4.998617750010417,100.0,25.3099403641785,52.930918809829,0.09090917355296778,16.557765151515152,0.65,49.234,Medium,100.0,-0.003505,95.0,True,True,True,3,Strong Bullish (3/3)
ABUS,Arbutus Biopharma Corporation,United States and Canada,US,NasdaqGS,Health Care,Biotechnology,29.9937096314995,5.706723852822828,16.42168007890294,2.8773409572872204,100.0,27.301743601875312,5.588546544122326,0.09090917355296778,11.492118451025059,0.7200000000000001,4.894504,Low,100.0,0.0,91.75,True,True,True,3,Strong Bullish (3/3)
SEI,Solaris Energy Infrastructure Inc.,United States and Canada,US,NYSE,Energy,Energy Equipment and Services,29.903775339641747,65.82224296459647,23.294614152260717,7.365878691010598,100.0,27.683610576717804,64.69728547922291,0.09090917355296778,17.56068679692126,0.6000000000000001,59.568000000000005,High,100.0,0.073155,90.0,True,True,True,3,Strong Bullish (3/3)
MMSI,Merit Medical Systems Inc.,United States and Canada,US,NasdaqGS,Health Care,Health Care Equipment and Supplies,29.832170333798043,105.95603420941258,16.41822055942165,3.723913298305316,100.0,24.53623110338301,101.63401820347087,0.09090917355296778,17.93162602622228,0.6000000000000001,96.24400000000001,Medium,90.9090909090909,0.004755,84.0,True,True,True,3,Strong Bullish (3/3)
GMD,Genesis Minerals Limited,Asia / Pacific,AU,ASX,Materials,Metals and Mining,29.79712813826314,9.397312077210252,16.579517227108724,3.772807656673102,100.0,25.980686601995227,9.121001709984455,0.09090917355296778,18.19889502762431,0.6100000000000001,8.5576,Medium,63.63636363636363,0.299805,77.25,True,True,True,3,Strong Bullish (3/3)
LFST,LifeStance Health Group Inc.,United States and Canada,US,NasdaqGS,Health Care,Health Care Providers and Services,29.397205762093115,9.174261888532403,16.692825464507745,3.1617485851021496,100.0,24.490341535425717,8.826365214861683,0.09090917355296778,14.915373765867418,0.75,8.1475,Low,90.0,0.60205,90.0,True,True,True,3,Strong Bullish (3/3)
1128,Wynn Macau Limited,Asia / Pacific,MO,SEHK,Consumer Discretionary,Hotels Restaurants and Leisure,29.356549698465475,7.68377905208885,15.266006848956177,3.2345623675732913,100.0,25.35049748705987,7.445819550731357,0.09090917355296778,16.015151515151516,0.63,6.8913,Medium,78.57142857142857,-0.03784,82.25,True,True,True,3,Strong Bullish (3/3)
VERK,Verkkokauppa.com Oyj,Europe,FI,HLSE,Consumer Discretionary,Broadline Retail,29.111382810818974,4.699654334313811,24.034761033614682,7.501311079197648,100.0,26.473550540149937,4.603637239661458,0.09090917355296778,15.357142857142858,0.65,4.199,High,100.0,0.257895,91.75,True,True,True,3,Strong Bullish (3/3)
TTEN3,Três Tentos Agroindustrial S/A,Latin America and Caribbean,BR,BOVESPA,Consumer Staples,Food Products,29.067897550562645,21.56724568069902,16.020209934523365,3.0480029742052914,100.0,23.47534912513797,20.632730838810556,0.09090917355296778,14.175942549371635,0.7200000000000001,19.078799999999998,Low,100.0,0.106425,93.75,True,True,True,3,Strong Bullish (3/3)
RMDA,Tenth of Ramadan for Pharmaceutical Industries and Diagnostic Reagents (Rameda) (S.A.E),Africa / Middle East,EG,CASE,Health Care,Pharmaceuticals,29.062862939214373,5.652953396737589,3.784468014498762,1.5735705607284998,98.69,18.12994591290348,5.174091630985172,0.09090917355296778,6.511415525114157,0.6200000000000001,4.6652000000000005,Low,100.0,-0.104915,96.5,True,True,True,3,Strong Bullish (3/3)
688349,Sany Renewable Energy Co.Ltd.,Asia / Pacific,CN,SHSE,Industrials,Electrical Equipment,28.651952244860464,33.01209094603119,25.21828556829289,14.014089690107019,100.0,25.976074064316407,32.32546060490359,0.09090917355296778,18.593141075604056,0.65,30.431,High,100.0,-0.115835,92.75,True,True,True,3,Strong Bullish (3/3)
SW,Smurfit Westrock Plc,Europe,IE,NYSE,Materials,Containers and Packaging,28.58783648655896,59.52330950962814,16.095655856174005,3.8178820509252644,100.0,25.24187765735448,57.974465167589386,0.09090917355296778,20.261611579174765,0.71,55.6691,Medium,100.0,-0.170945,91.75,True,True,True,3,Strong Bullish (3/3)
FSTA,Fuller Smith & Turner P.L.C.,Europe,GB,LSE,Consumer Discretionary,Hotels Restaurants and Leisure,28.30227882245687,9.34040589827486,6.72133768311667,1.8162667919540099,99.98,18.460306492218695,8.623910312633521,0.09090917355296778,8.747252747252748,0.64,7.9168,Low,83.33333333333333,0.071765,87.5,True,True,True,3,Strong Bullish (3/3)
241,Alibaba Health Information Technology Limited,Asia / Pacific,HK,SEHK,Consumer Staples,Consumer Staples Distribution and Retail,28.292475315221157,7.851499489291536,-9.11127911057692,1.0824058153623317,86.144,12.855032482473572,6.906727987927383,0.09090917355296778,5.2614705882352935,0.6699999999999999,6.4420020000000005,Low,50.0,0.042995,73.5,True,True,True,3,Strong Bullish (3/3)
601208,Sichuan Em Technology Co. Ltd.,Asia / Pacific,CN,SHSE,Materials,Chemicals,28.10661868697622,35.5367760237672,24.508706535578707,13.074074387870267,100.0,25.562060335729935,34.83091553713148,0.09090917355296778,20.52631578947368,0.73,33.434,High,100.0,0.0,100.0,True,True,True,3,Strong Bullish (3/3)
NFI,NFI Group Inc.,United States and Canada,CA,TSX,Industrials,Machinery,28.098720678439122,23.198678314865326,17.757616877352234,3.8161112086647035,100.0,24.19408855732957,22.491549437732385,0.09090917355296778,12.977029265599118,0.6000000000000001,20.46014,Medium,100.0,-0.045955,89.25,True,True,True,3,Strong Bullish (3/3)
VLE,Valeura Energy Inc.,Asia / Pacific,SG,TSX,Energy,Oil Gas and Consumable Fuels,27.831937272495278,13.997597131338233,15.34086613459428,3.7398470514032924,100.0,26.270675604900077,13.826638978736558,0.09090917355296778,17.547945205479454,0.6300000000000001,12.871500000000001,Medium,85.71428571428571,-0.04774,100.0,True,True,True,3,Strong Bullish (3/3)
000883,Hubei Energy Group Co. Ltd.,Asia / Pacific,CN,SZSE,Utilities,Independent Power and Renewable Electricity Producers,27.81773996699801,5.7901436205050105,26.45689869978586,34.34911166313653,100.0,25.285995292878432,5.675455586767393,0.09090917355296778,18.079470198675498,0.65,5.349000000000001,High,100.0,0.0,100.0,True,True,True,3,Strong Bullish (3/3)
