count,mean,median,std,min,max,q25,q75,positive_pct,missing_pct,category,feature
3653,85.84314262250206,90.0,16.97400822702138,20.0,100.0,75.0,100.0,100.0,0.0,Accounting Quality,accounting_quality_score
3653,0.3033123460169724,0.0,0.4597519214779066,0.0,1.0,0.0,1.0,30.331234601697236,0.0,Accounting Quality,asset_sale_boost
3653,0.3914590747330961,0.0,0.5860306830082137,0.0,3.0,0.0,1.0,34.273200109499044,0.0,Accounting Quality,exceptional_items_frequency
2501,20.696872230458656,0.0,838.017935950345,-1.0,41534.0,-0.17385599475151714,0.07874487004103967,46.94122351059576,31.535724062414456,Accounting Quality,goodwill_change_rate
3653,-0.0033850450241875683,0.0,0.020455923351130736,-0.49260159010600707,0.03248687567625332,0.0,0.0,1.7519846701341362,0.0,Accounting Quality,merger_impact_ratio
3650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08212428141253764,Accounting Quality,non_operating_income_share
3558,-0.0014083329467194025,0.0,0.007126358714559861,-0.1716716071658719,0.024024024024024024,0.0,0.0,1.2928611579539067,2.6006022447303585,Accounting Quality,restructuring_intensity
3651,5.6151347610145015,0.0,14.501679117660764,0.0,100.0,0.0,4.444444444444445,27.00629964393317,0.054749520941691755,Analyst Sentiment,analyst_bearish_pct
3613,69.41303492778451,77.77777777777777,31.687930479119935,0.0,100.0,50.0,100.0,92.41627456407417,1.094990418833835,Analyst Sentiment,analyst_bullish_pct
3653,0.9372273651621796,0.7838736528779396,0.680022353473669,0.09567653797684449,4.435458352501802,0.3849292297448826,1.3631590309513033,100.0,0.0,Analyst Sentiment,analyst_coverage_quality
3651,24.110017179550873,16.666666666666668,27.130924181988263,0.0,100.0,0.0,40.0,62.667762256915914,0.054749520941691755,Analyst Sentiment,analyst_neutral_pct
3653,77.35621407062688,82.25,21.381662627070497,-25.0,100.0,68.0,92.25,98.22064056939502,0.0,Analyst Sentiment,analyst_rating_normalized
3653,0.01751400355871886,0.0,0.20068433884999232,-0.67433,4.86209,-0.01247,0.020565,41.91075828086504,0.0,Analyst Sentiment,eps_revision_momentum
3627,0.02254746567397435,0.0,0.10729489020036784,-0.6147272727272727,2.828967520881689,0.0,0.023722253511649194,41.54948993658671,0.7117437722419928,Analyst Sentiment,price_target_revision_1m
3587,0.05536828733376832,0.007645618276374776,0.2063865017393822,-0.680952380952381,3.6,-0.014708471645340379,0.07519195252120212,53.833286869250074,1.806734191075828,Analyst Sentiment,price_target_revision_3m
3652,40.00863574343366,33.61818181818182,43.57128524507669,0.0,858.0645161290323,14.655727596601809,54.419138715658185,85.56955093099671,0.027374760470845878,Analyst Sentiment,price_target_spread_pct
3653,228.55029588758276,15.485564304461942,12213.650937416993,-100.0,738200.0,1.9651464590285503,37.68224860964978,78.56556255132767,0.0,Analyst Sentiment,upside_potential
3653,57.16386246184748,56.48903899677894,20.55711867573972,0.0,100.0,49.59711052706127,66.46818306154655,98.85026006022447,0.0,Balance Sheet,asset_quality_score
3653,59.355324390911576,75.0,34.157465034208,0.0,100.0,25.0,100.0,87.68135778811936,0.0,Balance Sheet,balance_sheet_strength
3590,0.5678362555848012,0.0,6.28823491238945,-1.0,215.38709677419354,-0.1953593686341912,0.31748204667638424,48.99721448467966,1.7246099096632903,Balance Sheet,cash_change_qoq
3558,14.172619911478128,9.449083901821908,14.687907003489133,0.0,98.36654688010454,4.724844811804015,17.986563103180554,99.57841483979763,2.6006022447303585,Balance Sheet,cash_to_assets_pct
3124,1.1294659388826012,0.9857337493497411,0.905443977655872,0.0,17.547684266287582,0.6794129952556502,1.3471831036376767,96.86299615877081,14.48124828907747,Balance Sheet,cash_vs_5y_avg
3631,11.12055370900087,1.9548762736535663,473.9084626568732,-1006.1052631578947,28446.5,0.3603984879824661,4.062875856948384,86.28477003580281,0.6022447303586094,Balance Sheet,debt_maturity_risk
3653,0.08650424308787298,0.0,0.2811456861119172,0.0,1.0,0.0,0.0,8.650424308787299,0.0,Balance Sheet,intangibles_growth_flag
2964,-0.02112729813825775,-0.0930852607264003,1.8179128727803606,-1.0,78.22941176470589,-0.20907142860084074,0.0,21.086369770580298,18.86120996441281,Balance Sheet,inventory_change_yoy
2789,1.1410513556977495,1.1231847455486803,0.602537843606523,0.0,5.661764705882353,0.9249601535587585,1.3524590163934427,91.68160631050556,23.65179304681084,Balance Sheet,inventory_vs_5y_avg
3098,1.264378682050144,1.1982458016585982,4.555025169463885,-78.46397130746658,127.46586345381526,0.8848825505826519,1.4927761727280788,87.18528082633958,15.192992061319464,Balance Sheet,retained_earnings_vs_5y
3401,4.129570846114316,1.214322946831924,175.9985329567323,-302.1871921182266,10239.5,0.759074183267527,1.7152154793315744,87.41546603940019,6.898439638653161,Balance Sheet,working_capital_vs_5y_avg
3653,82.0317957842869,0.0,598.7423359326336,0.0,17541.0,0.0,8.08,38.51628798248015,0.0,Cash Flow,acquisition_intensity
3639,2.6390377534433456,0.03840224355249804,130.50592951679198,-334.81336405529953,7746.0,-0.397962392390812,0.470153814387803,53.06402857928002,0.3832466465918423,Cash Flow,cfo_growth_yoy
3650,1.0040555723733628,1.2981046434489407,40.682079492039925,-1338.0,1042.8085106382978,0.357503119241797,2.2446365755208793,79.45205479452055,0.08212428141253764,Cash Flow,cfo_to_net_income
3553,-1.4254065524940112,0.057286659503477916,41.22634773157201,-2246.1111111111113,284.65671641791045,0.0,0.13189315166726426,71.17928511117366,2.7374760470845882,Cash Flow,fcf_margin
