ticker    ,isin        ,name                                                                                   ,industry                                             ,region                     ,market_cap,enterprise_value,last_price,price_target,p_e_ratio,p_b_ratio,ev_ebitda_ratio,peg_ratio          ,price_to_tangible_book,tangible_book_value_ltm,piotroski_f_score,distress_risk_score,earnings_quality_composite,cash_flow_quality_score,accounting_quality_score,beta_stability_score,tangible_asset_quality,core_earnings_stability,eps_trajectory_score,ebitda_cagr_3y     ,tbv_yoy_growth     ,rnd_yoy_growth     ,price_momentum_1y  ,long_term_trend_score,secular_trend_flag,fcf_positive_years,fcf_yield          ,self_funding_ratio ,debt_to_equity     ,debt_deleveraging,interest_coverage_ratio,analyst_bullish_pct,analyst_neutral_pct,analyst_bearish_pct,upside_potential   ,eps_cont_ltm,eps_cont_yoy_growth,eps_cont_vs_total_eps,discontinued_ops_impact,rnd_intensity_ltm  ,rnd_per_employee   ,high_rnd_intensity_flag,inventory_days     ,inventory_turnover_itf,inventory_yoy_change,goodwill_concentration,goodwill_3y_growth ,recent_acquisition_flag,marketing_to_revenue,sga_vs_5y_avg      ,marketing_trend_yoy,capex_yoy_growth   ,capex_vs_5y_avg   ,capex_3y_trend     ,underinvestment_flag,overinvestment_flag,capex_acceleration,acquisitions_ltm_total,acquisitions_vs_5y_avg,ma_intensity_score,serial_acquirer_flag,acquisition_pause_flag,total_investment_to_cfo,organic_vs_inorganic,investment_efficiency,sustainable_ma_flag,quality_composite
A034020   ,KR7034020008,Doosan Enerbility Co. Ltd.                                                             ,Electrical Equipment                                 ,Asia / Pacific             ,42308.41  ,48395.47        ,95500.0   ,101833.3333 ,         ,7.7      ,52.4           ,                   ,119.0                 ,355.6                  ,4                ,0.0                ,90                        ,25                     ,75                      ,99.5                ,73.33964883524175     ,0.0                    ,60                  ,-5.1992258165008645,25.849377123442807 ,-5.23223279238948  ,293.8144329896907  ,4.365316861957829    ,1                 ,4                 ,0.205065612250614  ,0.6674283554394886 ,0.6029217095869409 ,0                ,-2.2492206588592127    ,94.44444444444444  ,5.263157894736842  ,0.0                ,7.329842931937171  ,-0.11       ,71.42857142857143  ,1.0                  ,0.0                    ,1.5340978457740813 ,                   ,0                      ,71.68480180353164  ,5.091734800360678     ,-5.505687356157602  ,43.72698375894772     ,-21.431112500878044,0                      ,0.0                 ,1.3000208855472013 ,                   ,2.9362772316033574 ,1.549387501938285 ,31.42070806054793  ,0                   ,1                  ,1                 ,128.21                ,0.0012860357946629    ,0.6658803451297144,1                   ,0                     ,1.10670064612454       ,2.353248576554091   ,-8.430283829245191   ,0                  ,39.861111111111114
9999      ,KYG6427A1022,NetEase Inc.                                                                           ,Entertainment                                        ,Asia / Pacific             ,79018.35  ,57465.05        ,195.0     ,262.0333    ,19.8     ,3.6      ,10.8           ,1.188808792068898  ,3.7                   ,21375.34               ,8                ,100.0              ,85                        ,100                    ,100                     ,79.0                ,100.0                 ,100.0                  ,60                  ,12.263867973108743 ,18.875916094681006 ,3.377767444263608  ,20.370370370370367 ,0.2157005420881588   ,1                 ,5                 ,8.477233452735977  ,3.781163175818795  ,0.0456712510445683 ,0                ,-59.09011904761905     ,95.83333333333331  ,0.0                ,4.166666666666666  ,36.417333333333325 ,1.6         ,-1.550387596899225 ,1.0                  ,0.0                    ,15.877034772494467 ,0.0922464269248501 ,1                      ,5.6952619662238835 ,64.08836014298481     ,-20.077574767786057 ,0.0                   ,171.3568912138358  ,0                      ,0.0                 ,1.2135908902309713 ,                   ,-46.11114537716647 ,0.6464384228460165,-30.67523605490756 ,1                   ,0                  ,0                 ,0.0                   ,                      ,0.0               ,0                   ,0                     ,0.0253336398610149     ,                    ,-0.4672793437365077  ,1                  ,93.47222222222223
5110      ,JP3404200002,Sumitomo Rubber Industries Ltd.                                                        ,Automobile Components                                ,Asia / Pacific             ,4703.52   ,6459.25         ,2762.0    ,2695.3846   ,75.1     ,1.1      ,4.8            ,-2.017668597775033 ,1.5                   ,3130.2                 ,5                ,35.83333333333333  ,55                        ,50                     ,60                      ,31.5                ,97.91317793546408     ,99.45652173913044      ,60                  ,1.2493869262843085 ,-13.22259062531188 ,                   ,56.22171945701357  ,0.9699936283553454   ,1                 ,4                 ,9.570917100384394  ,0.7539860859207926 ,0.5226413456321215 ,0                ,-6.992603550295858     ,69.23076923076923  ,28.57142857142857  ,0.0                ,1.3758146270818248 ,0.82        ,-76.0              ,1.0                  ,0.0                    ,0.0                ,0.0                ,0                      ,132.43907693488515 ,2.755984173609542     ,-0.6746920643106161 ,4.340965816603364     ,-18.030561758395727,0                      ,0.0                 ,1.096409428004993  ,                   ,-19.59906448379552 ,0.803814993334017 ,-12.9503689769932  ,0                   ,0                  ,0                 ,0.0                   ,                      ,0.0               ,0                   ,0                     ,0.4612549216721119     ,                    ,-1.4469985521773026  ,1                  ,49.09722222222222
VNM       ,VN000000VNM8,Vietnam Dairy Products Joint Stock Company                                             ,Food Products                                        ,Asia / Pacific             ,5564.09   ,5178.74         ,69100.0   ,68417.4286  ,16.9     ,4.8      ,11.5           ,-2.3576274381113365,5.1                   ,1216.63                ,5                ,100.0              ,100                       ,75                     ,100                     ,96.5                ,96.05622303131571     ,83.33333333333333      ,40                  ,-6.850962898773506 ,2.7619876175111706 ,                   ,14.403973509933774 ,-0.0268946398430993  ,0                 ,5                 ,4.370525997961931  ,1.6644736842105263 ,0.2179711275305194 ,0                ,-32.47156605424322     ,85.71428571428571  ,0.0                ,14.285714285714285 ,0.5065123010130246 ,0.14        ,0.0                ,1.0                  ,0.0                    ,0.0                ,0.0                ,0                      ,62.98162352073679  ,5.795341237588504     ,-11.64521876856068  ,2.3489348663272906    ,-46.73899331399016 ,0                      ,1.754342544353558   ,0.9960690720202162 ,-22.34800073032682 ,4.961597542242704  ,0.0               ,2.0764864057364805 ,1                   ,0                  ,1                 ,0.0                   ,0.0                   ,0.0               ,0                   ,0                     ,0.2185802885696841     ,                    ,-0.9774193548387096  ,1                  ,82.63888888888889
MM        ,INE101A01026,Mahindra & Mahindra Limited                                                            ,Automobiles                                          ,Asia / Pacific             ,45227.72  ,56974.26        ,3674.9    ,4218.3145   ,30.1     ,4.8      ,14.3           ,1.4784039670504112 ,5.8                   ,7750.33                ,4                ,100.0              ,70                        ,0                      ,65                      ,86.0                ,99.1352994230073      ,91.17647058823528      ,100                 ,23.396261777527407 ,-4.613905838857287 ,                   ,19.0848847194543   ,1.2067883223006857   ,1                 ,2                 ,-0.649734278004728 ,0.4222850856514222 ,1.3229046009166876 ,1                ,-3.159749928414622     ,97.22222222222223  ,2.7027027027027026 ,0.0                ,15.667378704182426 ,1.44        ,12.396694214876032 ,1.0                  ,0.0                    ,0.0                ,0.0                ,0                      ,82.86421432004632  ,4.40479648537137      ,6.664933574770963   ,2.5822478497871297    ,57.43342776203966  ,0                      ,0.0                 ,1.091920703198055  ,                   ,1.9067725612412447 ,                  ,52.94664973406596  ,0                   ,0                  ,1                 ,61.36                 ,                      ,0.1860836369525225,1                   ,1                     ,1.4721277048221597     ,17.05035853976532   ,1.5967383061525513   ,1                  ,53.611111111111114
PAYC      ,US70432V1026,Paycom Software Inc.                                                                   ,Professional Services                                ,United States and Canada   ,6517.91   ,6227.41         ,118.71    ,197.1765    ,13.3     ,3.8      ,11.3           ,0.349012691391293  ,4.0                   ,1616.6                 ,9                ,100.0              ,70                        ,75                     ,100                     ,96.5                ,97.35937058324696     ,85.49618320610686      ,80                  ,26.800879085255065 ,9.39233996481256   ,21.90954773869347  ,-41.62855878448149 ,-0.5375425083421308  ,0                 ,5                 ,6.051019421869894  ,0.8997062526227444 ,0.0494325494325494 ,0                ,-119.18918918918918    ,33.33333333333333  ,66.66666666666666  ,0.0                ,60.053912896975824 ,8.09        ,51.099830795262264 ,1.0                  ,0.0                    ,13.885974116824064 ,0.033205584451136  ,1                      ,2.485811577752554  ,146.83333333333331    ,0.0                 ,3.036153036153036     ,0.0192715359414145 ,0                      ,0.0                 ,1.2688627753162525 ,                   ,0.1557632398753894 ,2.3444976076555024,59.83097191150882  ,0                   ,1                  ,1                 ,0.0                   ,                      ,0.0               ,0                   ,0                     ,0.3868159203980099     ,                    ,0.9839044652128764   ,1                  ,86.25
VRT       ,US92537N1081,Vertiv Holdings Co                                                                     ,Electrical Equipment                                 ,United States and Canada   ,95068.42  ,96398.72        ,248.51    ,200.1563    ,194.1    ,27.1     ,44.8           ,3.3952372160551616 ,170.8                 ,556.7                  ,7                ,100.0              ,70                        ,75                     ,85                      ,89.0                ,86.64792951378938     ,79.78723404255318      ,80                  ,49.20574749395263  ,-248.89007756084516,                   ,101.63083164300204 ,7.512829071344769    ,1                 ,4                 ,1.443907451075762  ,1.6022388826127143 ,0.9159802775956908 ,0                ,-17.49050949050949     ,88.0               ,11.538461538461538 ,0.0                ,-18.7155446460907  ,2.72        ,9.090909090909092  ,1.0                  ,0.0                    ,0.0                ,0.0                ,0                      ,84.16499526659499  ,4.33671978289611      ,40.721474612688     ,41.16054379114772     ,-0.6766408540711224,0                      ,0.0                 ,1.31670109645638   ,                   ,30.570758405003907 ,1.5157612340710933,127.52043596730245 ,0                   ,1                  ,1                 ,239.3                 ,                      ,2.2124016530606583,1                   ,0                     ,0.2735081084545862     ,0.7831174258253238  ,7.32992980216975     ,1                  ,80.69444444444444
MSI       ,US6200763075,Motorola Solutions Inc.                                                                ,Communications Equipment                             ,United States and Canada   ,70141.31  ,79200.31        ,421.13    ,487.9       ,45.6     ,30.1     ,22.4           ,5.248155052581069  ,                      ,-7580.0                ,4                ,100.0              ,55                        ,75                     ,60                      ,75.5                ,49.747326985477955    ,95.68452380952382      ,80                  ,11.457607795906153 ,146.74479166666669 ,6.876456876456877  ,-11.262590079649375,0.372304603527532    ,0                 ,5                 ,3.441623773493822  ,0.5219531403819649 ,4.238907849829352  ,0                ,-9.391167192429023     ,92.85714285714285  ,7.142857142857143  ,0.0                ,19.321824614727046 ,12.68       ,-7.624633431085045 ,1.0                  ,0.0                    ,8.3620613453549    ,0.0436666666666666 ,0                      ,62.83223804308142  ,5.809119830328737     ,-7.376058041112454  ,289.07849829351534    ,37.46588693957115  ,1                      ,0.0                 ,1.2649763165227084 ,                   ,1.5810276679841897 ,1.0871355625102948,5.761316872427984  ,0                   ,0                  ,0                 ,4857.0                ,12.769873499079727    ,25.836480663865096,1                   ,0                     ,1.921539041870992      ,0.0487955528103767  ,1.9376443418013856   ,0                  ,68.61111111111111
SCI       ,US8175651046,Service Corporation International                                                      ,Diversified Consumer Services                        ,United States and Canada   ,11832.71  ,16621.62        ,84.41     ,97.8333     ,23.9     ,7.6      ,12.6           ,-2.5605186924297847,                      ,-579.95                ,6                ,0.0                ,75                        ,100                    ,75                      ,67.0                ,88.30930334640759     ,98.14814814814817      ,40                  ,-4.415496741547571 ,-36.64449032652749 ,                   ,9.127343244990303  ,0.213083472457092    ,0                 ,5                 ,4.85053719731152   ,2.0804571237206186 ,3.2091521617069065 ,0                ,-3.802216371281487     ,100.0              ,0.0                ,0.0                ,14.32294751806658  ,3.74        ,0.0                ,1.0                  ,0.0                    ,0.0                ,0.0                ,0                      ,3.6587421272066    ,99.76106194690264     ,-0.8333333333333333 ,136.96467765810831    ,8.664389999373393  ,0                      ,0.0                 ,0.9457192203306192 ,                   ,7.551341938693716  ,1.3602815941864426,28.140025027991832 ,0                   ,0                  ,0                 ,84.44                 ,1.269720978298312     ,0.4598682698518335,1                   ,0                     ,0.5075253023199661     ,4.974301279014685   ,0.1993921532510591   ,1                  ,60.416666666666664
RDWR      ,IL0010834765,Radware Ltd.                                                                           ,Software                                             ,Africa / Middle East       ,1203.57   ,933.25          ,27.71     ,30.6667     ,197.9    ,3.5      ,38.1           ,-31.57867405167115 ,4.4                   ,271.64                 ,6                ,100.0              ,40                        ,50                     ,100                     ,85.0                ,89.718820861678       ,78.57142857142857      ,20                  ,-35.13108330811065 ,14.853494566825928 ,-9.561849431130478 ,19.28540680154972  ,0.1910238431297782   ,1                 ,4                 ,3.2237426988043905 ,0.6457150964812712 ,0.0455723486695234 ,0                ,                       ,50.0               ,50.0               ,0.0                ,15.481775532298808 ,0.39        ,-128.0             ,1.0                  ,0.0                    ,25.902796633179477 ,0.065716798592788  ,1                      ,85.5689412592332   ,4.2655663915979       ,-9.716859716859716  ,17.45143824895435     ,65.31356344190569  ,0                      ,0.0                 ,1.0053106744556557 ,                   ,-2.7624309392265194,1.146341463414634 ,-5.7142857142857135,0                   ,0                  ,0                 ,0.0                   ,0.0                   ,0.0               ,0                   ,1                     ,0.1474401230498791     ,                    ,2.5027624309392262   ,1                  ,64.16666666666666
