ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,distress_probability,liquidity_stress_score,cash_runway_months   ,altman_z_score,altman_z_trend,interest_coverage    ,quick_ratio        ,risk_level,confidence_interval                          ,data_quality_score
1911      ,Sumitomo Forestry Co. Ltd.                                      ,Consumer Discretionary,Household Durables                                   ,JP     ,TSE     ,0.43                ,0.0                   ,0.843680189503433    ,              ,              ,-15.824993415854623  ,0.7684717470332975 ,Medium    ,"(0.36, 0.5)"                                ,0.8
7984      ,Kokuyo Co. Ltd.                                                 ,Industrials           ,Commercial Services and Supplies                     ,JP     ,TSE     ,0.33                ,0.0                   ,2.9146073934405425   ,              ,              ,-144.48333333333332  ,2.7464132785944466 ,Medium    ,"(0.26, 0.4)"                                ,0.8
4403      ,NOF Corporation                                                 ,Materials             ,Chemicals                                            ,JP     ,TSE     ,0.27999999999999997 ,0.0                   ,5.6644499566295865   ,5.91          ,0.58          ,-303.5157894736842   ,2.065099090318389  ,Low       ,"(0.22999999999999998, 0.32999999999999996)" ,1.0
TAQA      ,Abu Dhabi National Energy Company PJSC                          ,Utilities             ,Multi-Utilities                                      ,AE     ,ADX     ,0.4799999999999999  ,30.0                  ,1.9003844537488133   ,              ,              ,-3.485191905094208   ,0.5226892381737105 ,Medium    ,"(0.4099999999999999, 0.5499999999999999)"   ,0.8
COLR      ,Colruyt Group N.V.                                              ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,BE     ,ENXTBR  ,0.5800000000000001  ,30.0                  ,0.27303998819443515  ,3.46          ,              ,-22.55293551491819   ,0.5518103237529509 ,High      ,"(0.53, 0.6300000000000001)"                 ,1.0
4324      ,Dentsu Group Inc.                                               ,Communication Services,Media                                                ,JP     ,TSE     ,0.99                ,15.0                  ,2.206518796410891    ,1.05          ,-0.1          ,-6.79244312335658    ,1.0874004326672027 ,Distressed,"(0.94, 1)"                                  ,1.0
2181      ,Persol Holdings Co.Ltd.                                         ,Industrials           ,Professional Services                                ,JP     ,TSE     ,0.33                ,15.0                  ,0.8258290971966208   ,4.6           ,-0.02         ,-35.804403048264184  ,1.1348627224526222 ,Medium    ,"(0.28, 0.38)"                               ,1.0
6465      ,Hoshizaki Corporation                                           ,Industrials           ,Machinery                                            ,JP     ,TSE     ,0.43                ,0.0                   ,4.732493786938997    ,5.21          ,0.11          ,-32.027633851468046  ,1.8017994564142081 ,Medium    ,"(0.38, 0.48)"                               ,1.0
9364      ,Kamigumi Co. Ltd.                                               ,Industrials           ,Transportation Infrastructure                        ,JP     ,TSE     ,0.43                ,0.0                   ,2.646110245810448    ,4.14          ,-0.22         ,-263.9340659340659   ,2.669696529693626  ,Medium    ,"(0.38, 0.48)"                               ,1.0
TOM       ,Tomra Systems ASA                                               ,Industrials           ,Machinery                                            ,NO     ,OB      ,0.33                ,0.0                   ,1.132777670091103    ,3.69          ,0.08          ,-11.217419354838709  ,2.1882885451564618 ,Medium    ,"(0.28, 0.38)"                               ,1.0
