feature                     ,count,mean                ,median            ,std               ,min                ,max               ,missing_pct
eps_adjustment_ratio        ,1831 ,0.7278379871223818  ,1.0               ,5.656569067602077 ,-127.85714285714285,55.33333333333333 ,38.18365968939905
eps_adjustment_pct          ,1831 ,105.43801344343156  ,4.3478260869565215,556.4041812443833 ,-825.0             ,12885.714285714284,38.18365968939905
eps_adjustment_spread_ltm   ,1844 ,0.6611876355748373  ,0.04              ,4.527952546003493 ,-105.69            ,66.97             ,37.74476704929101
ni_adjustment_ratio         ,2958 ,0.19555481155933815 ,0.6960423982953152,19.230326338175786,-1010.0            ,63.236111111111114,0.1350438892640108
net_income_adjustment_pct   ,2958 ,84.15427643557047   ,0.0               ,1922.87380828713  ,-2589.8876404494385,101100.0          ,0.1350438892640108
ebitda_adjustment_ratio     ,2940 ,0.7448470422684864  ,0.9759854231651942,4.198493971001078 ,-129.3137931034483 ,153.75            ,0.7427413909520594
ebitda_adjustment_pct_fy    ,2945 ,61.52878253087666   ,8.667805294619985 ,669.362139013855  ,-497.7941176470588 ,28300.0           ,0.5739365293720459
earnings_quality_score      ,2962 ,76.27908804176887   ,98.9990522610344  ,35.721127336904885,0.0                ,100.0             ,0.0
earnings_quality_composite  ,2962 ,56.76569885212694   ,55.0              ,22.714811160708745,5.0                ,100.0             ,0.0
gaap_revision_momentum      ,2962 ,0.03973584571235651 ,0.0               ,0.7459089539492496,-0.88751           ,36.86927          ,0.0
gaap_vs_norm_revision_spread,2055 ,-0.06094861313868614,0.0               ,2.366731465976157 ,-105.7612          ,2.5656            ,30.62120189061445
