category               ,feature                      ,count ,mean                    ,median                  ,std                    ,min                     ,max                   ,q25                     ,q75                     ,positive_pct         ,missing_pct
"Balance Sheet"        ,"inventory_change_yoy"       ,"5281","0.03678740112161153"   ,"-0.08942589937879719"  ,"4.573283997251637"    ,"-1.0"                  ,"234.875"             ,"-0.19264"              ,"0.0"                   ,"21.20810452565802"  ,"17.792652552926526"
"Balance Sheet"        ,"inventory_vs_5y_avg"        ,"5108","1.1252536263698505"    ,"1.1290962590012956"    ,"0.5766442932624987"   ,"0.0"                   ,"9.399151743638077"   ,"0.9350307450428945"    ,"1.3363581136113818"    ,"91.24902114330462"  ,"20.485678704856788"
"Balance Sheet"        ,"retained_earnings_vs_5y"    ,"5602","1.1278335457530035"    ,"1.178718347978664"     ,"6.342256724692828"    ,"-341.75"               ,"127.5137741046832"   ,"0.8386738867367081"    ,"1.4498958009399605"    ,"84.64833987861478"  ,"12.79576587795766"
"Balance Sheet"        ,"working_capital_vs_5y_avg"  ,"6054","2.627722220652127"     ,"1.2062297726471236"    ,"134.22139012032358"   ,"-1890.0"               ,"10239.5"             ,"0.7539281060189327"    ,"1.6941081686736705"    ,"87.49587049884374"  ,"5.7596513075965134"
"Cash Flow"            ,"acquisition_intensity"      ,"6424","106.51904576587795"    ,"0.0"                   ,"655.300346692646"     ,"0.0"                   ,"19696.0"             ,"0.0"                   ,"11.5825"               ,"39.36799501867995"  ,"0.0"
"Cash Flow"            ,"cfo_growth_yoy"             ,"6394","2.1461678657148155"    ,"0.03022423184202188"   ,"105.00602168667876"   ,"-382.4685714285714"    ,"7746.0"              ,"-0.3756982838880485"   ,"0.43310370405743115"   ,"52.37722865186112"  ,"0.4669987546699875"
"Cash Flow"            ,"cfo_to_net_income"          ,"6420","0.9646142536888321"    ,"1.3526909450561826"    ,"34.97316932527842"    ,"-1338.0"               ,"1042.8085106382978"  ,"0.45863956368893566"   ,"2.253191310925475"     ,"79.78193146417446"  ,"0.062266500622665005"
"Cash Flow"            ,"fcf_margin"                 ,"6312","-0.8894510080450263"   ,"0.06026319128308287"   ,"30.722452744002172"   ,"-2246.1111111111113"   ,"284.65671641791045"  ,"0.0"                   ,"0.13396998943147273"   ,"73.19391634980988"  ,"1.7434620174346203"
"Cash Flow"            ,"fcf_positive_ratio"         ,"6424","0.6218555417185554"    ,"0.8"                   ,"0.35762887068255816"  ,"0.0"                   ,"1.0"                 ,"0.4"                   ,"1.0"                   ,"84.37110834371109"  ,"0.0"
"Cash Flow"            ,"fcf_to_net_income"          ,"6420","0.6394379719622632"    ,"0.8389529647647314"    ,"34.93627812370429"    ,"-1282.142857142857"    ,"1940.0"              ,"0.0"                   ,"1.4725274357051321"    ,"73.73831775700934"  ,"0.062266500622665005"
"Cash Flow"            ,"self_funding_ratio"         ,"6085","4.576986849879125"     ,"1.591869409348787"     ,"62.0778603230715"     ,"-1501.5333333333333"   ,"2133.2727272727275"  ,"0.68892114891789"      ,"3.2882096069868996"    ,"88.44700082169268"  ,"5.27708592777086"
"Composite Scores"     ,"dilution_score"             ,"6424","48.73380617759518"     ,"50.0"                  ,"16.386877507521728"   ,"0.0"                   ,"100.0"               ,"48.504904940915324"    ,"51.33977900211092"     ,"96.03051058530511"  ,"0.0"
"Composite Scores"     ,"piotroski_f_score"          ,"6424","4.89134495641345"      ,"5.0"                   ,"1.8205394294963837"   ,"0.0"                   ,"9.0"                 ,"4.0"                   ,"6.0"                   ,"99.22166874221668"  ,"0.0"
"Dividend Reliability" ,"buyback_yield"              ,"4405","-0.003170397275822929" ,"0.0016"                ,"0.0827359100289089"   ,"-1.7306"               ,"0.988"               ,"-0.0013"               ,"0.0156"                ,"61.316685584563004" ,"31.42901618929016"
"Dividend Reliability" ,"dividend_growth_expectation","4019","-0.002390818611594924" ,"0.001"                 ,"0.045307063552681735" ,"-1.7523"               ,"0.4667"              ,"-0.0015"               ,"0.0043"                ,"63.622791739238615" ,"37.43773349937734"
"Dividend Reliability" ,"dividend_payout_ratio"      ,"3678","0.441537595900936"     ,"0.12662043413938845"   ,"7.559599515930577"    ,"-143.73529411764707"   ,"397.344"             ,"0.0"                   ,"0.5253936706411391"    ,"55.4921152800435"   ,"42.74595267745953"
"Dividend Reliability" ,"dividend_streak"            ,"6424","2.313667496886675"     ,"1.0"                   ,"5.439960893983232"    ,"0.0"                   ,"54.0"                ,"0.0"                   ,"2.0"                   ,"71.57534246575342"  ,"0.0"
"Dividend Reliability" ,"dividend_yield_ltm"         ,"4285","0.030983570595099184"  ,"0.0215"                ,"0.05365713449317916"  ,"0.0"                   ,"1.7523"              ,"0.0097"                ,"0.0389"                ,"99.41656942823805"  ,"33.297011207970115"
"Dividend Reliability" ,"dividend_yield_ntm"         ,"5646","0.023638788522848037"  ,"0.016849999999999997"  ,"0.0318267808564348"   ,"0.0"                   ,"0.8629"              ,"0.0022"                ,"0.0349"                ,"77.5593340417995"   ,"12.110834371108343"
"Dividend Reliability" ,"fcf_dividend_coverage"      ,"4177","8.933090357333967"     ,"1.9406096094931555"    ,"310.71013093444"      ,"-7673.0"               ,"8547.42857142857"    ,"0.6716183042739347"    ,"3.8936884512085945"    ,"81.92482643045248"  ,"34.97820672478207"
"Dividend Reliability" ,"total_shareholder_yield"    ,"6424","0.01849299501867995"   ,"0.01635"               ,"0.08383505704897984"  ,"-1.7306"               ,"1.7523"              ,"0.0"                   ,"0.0417"                ,"72.82067247820673"  ,"0.0"
"Earnings Quality"     ,"ebitda_adjustment_ratio"    ,"6391","0.6935671472083095"    ,"0.5182989396876069"    ,"9.276991535426491"    ,"-148.5920365535248"    ,"684.0"               ,"0.0"                   ,"1.058655636096152"     ,"54.35769050226882"  ,"0.5136986301369862"
"Earnings Quality"     ,"eps_adjustment_ratio"       ,"3418","0.7980193956603867"    ,"1.0"                   ,"4.429295205003257"    ,"-127.85714285714286"   ,"55.333333333333336"  ,"0.6931438127090301"    ,"1.1349921543898756"    ,"90.72557050906963"  ,"46.79327521793275"
"Earnings Quality"     ,"eps_quarterly_trend"        ,"5814","0.17601174793933802"   ,"0.08077671121149382"   ,"13.966397076746567"   ,"-918.0"                ,"300.0"               ,"-0.25"                 ,"0.5714285714285714"    ,"53.80116959064327"  ,"9.495641344956415"
"Earnings Quality"     ,"eps_surprise_pct"           ,"3388","-15.974955034927016"   ,"-5.326241134751773"    ,"241.73206936183496"   ,"-11800.0"              ,"3540.0"              ,"-22.22222222222222"    ,"2.0294182980009787"    ,"29.132231404958674" ,"47.26027397260274"
"Earnings Quality"     ,"eps_yoy_growth"             ,"6278","7.764679086614585"     ,"3.8984065579810263"    ,"564.6677900739219"    ,"-20260.0"              ,"6600.0"              ,"-27.726094470046082"   ,"42.921558550021686"    ,"52.516725071678884" ,"2.272727272727273"
"Earnings Quality"     ,"gaap_adj_eps_gap_pct"       ,"5246","-29.125512229980664"   ,"-0.8000512032770097"   ,"288.46820421693275"   ,"-11300.0"              ,"2720.0"              ,"-17.25832172858362"    ,"0.0"                   ,"20.339306138009913" ,"18.337484433374847"
"Earnings Quality"     ,"revenue_surprise_pct"       ,"6201","11.74694925621458"     ,"-3.447945446124854"    ,"1140.278893226809"    ,"-339.1408906211129"    ,"89633.5294117647"    ,"-8.021787571180985"    ,"-0.45238308948927386"  ,"21.899693597806806" ,"3.471357409713574"
"Efficiency"           ,"asset_turnover"             ,"6237","0.754899894645237"     ,"0.6415941719438206"    ,"0.5702226988193676"   ,"-0.08028664654721204"  ,"6.212147713022243"   ,"0.3947582467239042"    ,"0.9653846722559849"    ,"98.22029822029822"  ,"2.910958904109589"
"Efficiency"           ,"inventory_turnover"         ,"5282","51.757631911151705"    ,"4.649661984134719"     ,"766.5918079389305"    ,"-362.25"               ,"50760.0"             ,"2.5592146868772065"    ,"11.043105184511434"    ,"99.58349110185536"  ,"17.77708592777086"
"Efficiency"           ,"receivables_days"           ,"6299","68.30403030374423"     ,"54.132822376738304"    ,"71.91352966263781"    ,"-150.8993288590604"    ,"1126.8484500574052"  ,"29.434467145662154"    ,"83.3221059365551"      ,"97.45991427210669"  ,"1.9458281444582817"
"Efficiency"           ,"working_capital_turns"      ,"6236","9.906151888837515"     ,"2.6317230806183565"    ,"616.4033138754921"    ,"-5761.560362173038"    ,"47815.5"             ,"0.46898799437184496"   ,"6.2431812834784095"    ,"79.00898011545863"  ,"2.926525529265255"
"Efficiency Ratios"    ,"cogs_to_revenue"            ,"6312","79.83810026509143"     ,"64.30250831386864"     ,"618.865303446035"     ,"-13743.283582089553"   ,"36650.0"             ,"45.72755279989783"     ,"78.38707991873606"     ,"98.70088719898605"  ,"1.7434620174346203"
"Efficiency Ratios"    ,"interest_to_revenue"        ,"6312","-9.255070230364389"    ,"-1.3222399363231236"   ,"237.78797605466673"   ,"-15400.0"              ,"5.142857142857143"   ,"-3.3014916754461123"   ,"-0.39605715254523177"  ,"0.03168567807351077","1.7434620174346203"
"Efficiency Ratios"    ,"opex_to_revenue"            ,"6312","163.48556842398048"    ,"90.04361988692231"     ,"1603.817517565495"    ,"-28788.059701492537"   ,"87811.11111111111"   ,"81.67459252802567"     ,"95.81074565517869"     ,"99.87325728770595"  ,"1.7434620174346203"
"Efficiency Ratios"    ,"rnd_to_revenue"             ,"6312","27.88442637306002"     ,"0.0"                   ,"784.3259087611016"    ,"-5402.985074626866"    ,"49400.0"             ,"0.0"                   ,"2.9897473701566226"    ,"37.43662864385298"  ,"1.7434620174346203"
"Efficiency Ratios"    ,"sga_to_revenue"             ,"6299","88.62004373422562"     ,"14.116972310551612"    ,"1788.488459017972"    ,"-285.3691275167785"    ,"85478.57142857143"   ,"6.429807519721782"     ,"27.25868294211996"     ,"96.71376408953802"  ,"1.9458281444582817"
"Employee Productivity","assets_per_employee"        ,"5499","3.273652843283514"     ,"0.5338814016172507"    ,"49.3726339022205"     ,"0.0"                   ,"2931.6833333333334"  ,"0.2865993456715701"    ,"1.1090468934063915"    ,"99.90907437715948"  ,"14.399128268991282"
"Employee Productivity","ebitda_per_employee"        ,"5499","0.1957443413438699"    ,"0.042761904761904765"  ,"2.8681335224363287"   ,"-5.3076923076923075"   ,"168.8275"            ,"0.016815989299014275"  ,"0.09694391031730952"   ,"88.59792689579923"  ,"14.399128268991282"
"Employee Productivity","fte_growth_1y_pct"          ,"5511","13.979180140701363"    ,"1.36986301369863"      ,"811.4661063889941"    ,"-100.0"                ,"59900.0"             ,"-3.7037037037037037"   ,"8.531588523011449"     ,"56.287425149700596" ,"14.212328767123289"
"Employee Productivity","fte_growth_3y_pct"          ,"5281","70.89786472964627"     ,"8.333333333333334"     ,"2602.9672827862773"   ,"-100.0"                ,"184000.0"            ,"-5.633802816901408"    ,"29.90272373540856"     ,"65.80193145237644"  ,"17.792652552926526"
"Employee Productivity","profit_per_employee"        ,"5499","0.005750811193642711"  ,"0.014859813084112149"  ,"5.40601430897698"     ,"-343.05526315789473"   ,"92.89"               ,"0.0036163365936049837" ,"0.03880906354796684"   ,"82.45135479178033"  ,"14.399128268991282"
"Employee Productivity","revenue_per_employee"       ,"5499","0.7254695876292017"    ,"0.3281990521327014"    ,"5.379513758658588"    ,"-228.055"              ,"253.5275"            ,"0.19151678100406566"   ,"0.5927954989410482"    ,"98.10874704491725"  ,"14.399128268991282"
"Employee Productivity","workforce_stability"        ,"1649","1.8718548673009445"    ,"1.0645809414466132"    ,"17.686790274856584"   ,"0.0"                   ,"688.5"               ,"0.9267912989088888"    ,"1.2647398843930635"    ,"95.69436021831413"  ,"74.33063511830636"
"EPS Trajectory"       ,"eps_cagr_3y"                ,"4367","5.640603062209954"     ,"2.2119218590540806"    ,"38.55971759984536"    ,"-93.87878213746157"    ,"701.040313265657"    ,"-13.376089465909724"   ,"17.60121987388427"     ,"52.828028394779025" ,"32.02054794520548"
"EPS Trajectory"       ,"eps_cagr_5y"                ,"4054","10.406715053916743"    ,"7.615760973932387"     ,"25.165145140298826"   ,"-79.63455095073274"    ,"259.20323294033096"  ,"-2.085163763902321"    ,"19.128986721560146"    ,"69.33892451899358"  ,"36.89290161892902"
"EPS Trajectory"       ,"eps_improvement_count"      ,"6424","2.6648505603985058"    ,"3.0"                   ,"1.0749162773692003"   ,"0.0"                   ,"5.0"                 ,"2.0"                   ,"3.0"                   ,"97.16687422166873"  ,"0.0"
"EPS Trajectory"       ,"eps_positive_streak"        ,"6424","3.675124533001245"     ,"5.0"                   ,"1.7789654815951554"   ,"0.0"                   ,"5.0"                 ,"3.0"                   ,"5.0"                   ,"88.46513075965132"  ,"0.0"
"EPS Trajectory"       ,"eps_qoq_growth"             ,"5915","24.53610789307574"     ,"0.0"                   ,"351.8971827170591"    ,"-8666.666666666666"    ,"9172.727272727272"   ,"-15.569985569985569"   ,"33.333333333333336"    ,"47.94590025359256"  ,"7.923412204234122"
"EPS Trajectory"       ,"eps_trajectory_score"       ,"6424","53.297011207970115"    ,"60.0"                  ,"21.498325547384"      ,"0.0"                   ,"100.0"               ,"40.0"                  ,"60.0"                  ,"97.16687422166873"  ,"0.0"
"EPS Trajectory"       ,"eps_yoy_quarterly"          ,"5814","17.6011747939338"      ,"8.077671121149383"     ,"1396.6397076746566"   ,"-91800.0"              ,"30000.0"             ,"-25.0"                 ,"57.142857142857146"    ,"53.80116959064327"  ,"9.495641344956415"
"Financial Distress"   ,"accumulated_deficit_flag"   ,"6424","0.19551681195516812"   ,"0.0"                   ,"0.3966288904668535"   ,"0.0"                   ,"1.0"                 ,"0.0"                   ,"0.0"                   ,"19.551681195516814" ,"0.0"
"Financial Distress"   ,"adequate_cash_buffer"       ,"6424","0.1536425902864259"    ,"0.0"                   ,"0.3606338727706005"   ,"0.0"                   ,"1.0"                 ,"0.0"                   ,"0.0"                   ,"15.364259028642591" ,"0.0"
"Financial Distress"   ,"cash_runway_months"         ,"6420","4.234189484004396"     ,"1.844288225912752"     ,"13.0837464002962"     ,"-144.20795510810365"   ,"433.70844487709905"  ,"0.7444420462769702"    ,"4.061273991588113"     ,"96.57320872274143"  ,"0.062266500622665005"
"Financial Distress"   ,"distress_risk_score"        ,"6424","66.68833022000831"     ,"100.0"                 ,"43.11850516319442"    ,"0.0"                   ,"100.0"               ,"12.5"                  ,"100.0"                 ,"77.75529265255294"  ,"0.0"
"Financial Distress"   ,"liquidity_stress_score"     ,"6424","8.788916562889165"     ,"0.0"                   ,"11.3640573018139"     ,"0.0"                   ,"30.0"                ,"0.0"                   ,"15.0"                  ,"42.02988792029888"  ,"0.0"
"Financial Distress"   ,"working_capital_trend"      ,"6369","0.45928646789663674"   ,"0.03964682576125317"   ,"16.284443280579858"   ,"-212.71428571428572"   ,"921.6666666666666"   ,"-0.12867241714767494"  ,"0.2779840848806366"    ,"55.04788820850997"  ,"0.8561643835616438"
"Growth Metrics"       ,"ebitda_growth_yoy"          ,"6392","8.299304127734041"     ,"5.076354655576114"     ,"2547.660448367051"    ,"-192800.0"             ,"49366.666666666664"  ,"-11.242687820306536"   ,"23.398013669980052"    ,"59.10513141426783"  ,"0.49813200498132004"
"Growth Metrics"       ,"fcf_growth"                 ,"6349","135.74145719623516"    ,"0.37178973860321457"   ,"9500.732038023782"    ,"-101900.0"             ,"744920.0"            ,"-30.280701975170366"   ,"45.372710044219836"    ,"50.33863600567019"  ,"1.1674968866749689"
"Growth Metrics"       ,"forward_revenue_growth"     ,"5990","0.6526492320534223"    ,"0.11904999999999999"   ,"16.05079141034045"    ,"-1.0"                  ,"1101.7406"           ,"0.033824999999999994"  ,"0.2383"                ,"83.7228714524207"   ,"6.755915317559154"
"Growth Metrics"       ,"operating_income_growth"    ,"6420","35.88717004933724"     ,"5.447638381962292"     ,"843.635958611605"     ,"-10710.0"              ,"59200.0"             ,"-5.847176079734219"    ,"23.73309285598591"     ,"59.610591900311526" ,"0.062266500622665005"
"Growth Metrics"       ,"revenue_cagr_5y"            ,"5838","0.1453968824940048"    ,"0.0896"                ,"0.25615240887827123"  ,"-0.6161"               ,"4.6287"              ,"0.0407"                ,"0.1727"                ,"89.89379924631723"  ,"9.122042341220423"
"Growth Metrics"       ,"revenue_growth_yoy"         ,"6261","89.4268801802807"      ,"3.0560547547126524"    ,"4012.913370600773"    ,"-542.8200972447326"    ,"297066.6666666667"   ,"-5.463710770231449"    ,"12.689999439116047"    ,"59.87861363999362"  ,"2.537359900373599"
"Growth Metrics"       ,"revenue_vs_5y_avg"          ,"5878","1.2600245327241728"    ,"1.1800477393325206"    ,"0.5084845257001644"   ,"-1.7081087484451816"   ,"15.558241758241758"  ,"1.0452943256116414"    ,"1.3778556301966363"    ,"99.57468526709765"  ,"8.499377334993774"
"Identifier"           ,"ticker"                     ,"1627","inf"                   ,"6682.0"                ,""                     ,"1.0"                   ,"inf"                 ,"2371.0"                ,"600123.0"              ,"100.0"              ,"0.0"
