ticker    ,name                                                                                   ,industry                                             ,region                     ,market_cap,piotroski_f_score,long_term_trend_score,dilution_score    ,distress_risk_score,cash_runway_months ,earnings_quality_composite,net_income_growth_yoy,cash_flow_quality_score,fcf_yield          ,eps_cont_vs_total_eps,discontinued_ops_impact,rnd_intensity_ltm  ,high_rnd_intensity_flag,inventory_days     ,inventory_turnover_itf,goodwill_concentration,recent_acquisition_flag,tangible_book_value_ltm,tbv_yoy_growth     ,marketing_to_revenue,sga_vs_5y_avg      ,capex_yoy_growth   ,capex_vs_5y_avg   ,underinvestment_flag,acquisitions_ltm_total,serial_acquirer_flag,ma_intensity_score,total_investment_to_cfo,organic_vs_inorganic,investment_efficiency
A034020   ,Doosan Enerbility Co. Ltd.                                                             ,Electrical Equipment                                 ,Asia / Pacific             ,42308.41  ,4                ,4.365316861957829    ,50.0              ,0.0                ,1.798921829581152  ,90                        ,75.78652994639944    ,25                     ,0.205065612250614  ,1.0                  ,0.0                    ,1.5340978457740813 ,0                      ,71.68480180353164  ,5.091734800360678     ,43.72698375894772     ,0                      ,355.6                  ,25.849377123442807 ,0.0                 ,1.3000208855472013 ,2.9362772316033574 ,1.549387501938285 ,0                   ,128.21                ,1                   ,0.6658803451297144,1.10670064612454       ,2.353248576554091   ,-8.430283829245191
9999      ,NetEase Inc.                                                                           ,Entertainment                                        ,Asia / Pacific             ,79018.35  ,8                ,0.2157005420881588   ,50.0              ,100.0              ,4.9146795036467    ,85                        ,-1.8274998431641276  ,100                    ,8.477233452735977  ,1.0                  ,0.0                    ,15.877034772494467 ,1                      ,5.6952619662238835 ,64.08836014298481     ,0.0                   ,0                      ,21375.34               ,18.875916094681006 ,0.0                 ,1.2135908902309713 ,-46.11114537716647 ,0.6464384228460165,1                   ,0.0                   ,0                   ,0.0               ,0.0253336398610149     ,                    ,-0.4672793437365077
5110      ,Sumitomo Rubber Industries Ltd.                                                        ,Automobile Components                                ,Asia / Pacific             ,4703.52   ,5                ,0.9699936283553454   ,50.069048070591585,35.83333333333333  ,1.1345790399184867 ,55                        ,-76.14354212649363   ,50                     ,9.570917100384394  ,1.0                  ,0.0                    ,0.0                ,0                      ,132.43907693488515 ,2.755984173609542     ,4.340965816603364     ,0                      ,3130.2                 ,-13.22259062531188 ,0.0                 ,1.096409428004993  ,-19.59906448379552 ,0.803814993334017 ,0                   ,0.0                   ,0                   ,0.0               ,0.4612549216721119     ,                    ,-1.4469985521773026
VNM       ,Vietnam Dairy Products Joint Stock Company                                             ,Food Products                                        ,Asia / Pacific             ,5564.09   ,5                ,-0.0268946398430993  ,50.0              ,100.0              ,0.414044134374763  ,100                       ,0.7765928356576428   ,75                     ,4.370525997961931  ,1.0                  ,0.0                    ,0.0                ,0                      ,62.98162352073679  ,5.795341237588504     ,2.3489348663272906    ,0                      ,1216.63                ,2.7619876175111706 ,1.754342544353558   ,0.9960690720202162 ,4.961597542242704  ,0.0               ,1                   ,0.0                   ,0                   ,0.0               ,0.2185802885696841     ,                    ,-0.9774193548387096
MM        ,Mahindra & Mahindra Limited                                                            ,Automobiles                                          ,Asia / Pacific             ,45227.72  ,4                ,1.2067883223006857   ,49.76064560002057 ,100.0              ,1.8003832268515    ,70                        ,11.905765434015837   ,0                      ,-0.649734278004728 ,1.0                  ,0.0                    ,0.0                ,0                      ,82.86421432004632  ,4.40479648537137      ,2.5822478497871297    ,0                      ,7750.33                ,-4.613905838857287 ,0.0                 ,1.091920703198055  ,1.9067725612412447 ,                  ,0                   ,61.36                 ,1                   ,0.1860836369525225,1.4721277048221597     ,17.05035853976532   ,1.5967383061525513
PAYC      ,Paycom Software Inc.                                                                   ,Professional Services                                ,United States and Canada   ,6517.91   ,9                ,-0.5375425083421308  ,54.843437233647634,100.0              ,2.8840607575466257 ,70                        ,47.30046948356808    ,75                     ,6.051019421869894  ,1.0                  ,0.0                    ,13.885974116824064 ,1                      ,2.485811577752554  ,146.83333333333331    ,3.036153036153036     ,0                      ,1616.6                 ,9.39233996481256   ,0.0                 ,1.2688627753162525 ,0.1557632398753894 ,2.3444976076555024,0                   ,0.0                   ,0                   ,0.0               ,0.3868159203980099     ,                    ,0.9839044652128764
VRT       ,Vertiv Holdings Co                                                                     ,Electrical Equipment                                 ,United States and Canada   ,95068.42  ,7                ,7.512829071344769    ,48.077006161455465,100.0              ,2.1083632244666797 ,70                        ,7.735767057800957    ,75                     ,1.443907451075762  ,1.0                  ,0.0                    ,0.0                ,0                      ,84.16499526659499  ,4.33671978289611      ,41.16054379114772     ,0                      ,556.7                  ,-248.89007756084516,0.0                 ,1.31670109645638   ,30.570758405003907 ,1.5157612340710933,0                   ,239.3                 ,1                   ,2.2124016530606583,0.2735081084545862     ,0.7831174258253238  ,7.32992980216975
MSI       ,Motorola Solutions Inc.                                                                ,Communications Equipment                             ,United States and Canada   ,70141.31  ,4                ,0.372304603527532    ,49.64661242978381 ,100.0              ,1.2869481765834931 ,55                        ,-7.723815096547688   ,75                     ,3.441623773493822  ,1.0                  ,0.0                    ,8.3620613453549    ,0                      ,62.83223804308142  ,5.809119830328737     ,289.07849829351534    ,1                      ,-7580.0                ,146.74479166666669 ,0.0                 ,1.2649763165227084 ,1.5810276679841897 ,1.0871355625102948,0                   ,4857.0                ,1                   ,25.836480663865096,1.921539041870992      ,0.0487955528103767  ,1.9376443418013856
SCI       ,Service Corporation International                                                      ,Diversified Consumer Services                        ,United States and Canada   ,11832.71  ,6                ,0.213083472457092    ,55.11921042077457 ,0.0                ,0.8714785235828333 ,75                        ,-3.474651976475843   ,100                    ,4.85053719731152   ,1.0                  ,0.0                    ,0.0                ,0                      ,3.6587421272066    ,99.76106194690264     ,136.96467765810831    ,0                      ,-579.95                ,-36.64449032652749 ,0.0                 ,0.9457192203306192 ,7.551341938693716  ,1.3602815941864426,0                   ,84.44                 ,1                   ,0.4598682698518335,0.5075253023199661     ,4.974301279014685   ,0.1993921532510591
RDWR      ,Radware Ltd.                                                                           ,Software                                             ,Africa / Middle East       ,1203.57   ,6                ,0.1910238431297782   ,46.57234009666741 ,100.0              ,3.648575210757333  ,40                        ,-127.97591477535896  ,50                     ,3.2237426988043905 ,1.0                  ,0.0                    ,25.902796633179477 ,1                      ,85.5689412592332   ,4.2655663915979       ,17.45143824895435     ,0                      ,271.64                 ,14.853494566825928 ,0.0                 ,1.0053106744556557 ,-2.7624309392265194,1.146341463414634 ,0                   ,0.0                   ,0                   ,0.0               ,0.1474401230498791     ,                    ,2.5027624309392262
