ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,dividend_cut_probability,fcf_dividend_coverage,payout_ratio          ,dividend_streak,dividend_consistency,yield_vs_5y_avg      ,sustainable_flag,safety_score      ,risk_category
ALD       ,Ampol Limited                                                   ,Energy                ,Oil Gas and Consumable Fuels                         ,AU     ,ASX     ,0.52                    ,                     ,                      ,1              ,0.1                 ,                     ,0               ,48.0              ,Borderline
GLPG      ,Galapagos NV                                                    ,Health Care           ,Biotechnology                                        ,BE     ,ENXTAM  ,0.37                    ,                     ,0.0                   ,0              ,0.0                 ,                     ,0               ,63.0              ,Borderline
ALM       ,Almirall S.A.                                                   ,Health Care           ,Pharmaceuticals                                      ,ES     ,BME     ,0.57                    ,6.169160702667535    ,0.4554074074074074    ,1              ,0.1                 ,1.9565217391304348   ,0               ,43.00000000000001 ,Borderline
BEAN      ,BELIMO Holding AG                                               ,Industrials           ,Building Products                                    ,CH     ,SWX     ,0.5700000000000001      ,1.0482074959261272   ,                      ,2              ,0.2                 ,0.6140350877192983   ,0               ,42.99999999999999 ,Borderline
GAPB      ,Grupo Aeroportuario del Pacífico S.A.B. de C.V.                 ,Industrials           ,Transportation Infrastructure                        ,MX     ,BMV     ,0.72                    ,0.8783259983041951   ,0.8742168334480507    ,3              ,0.3                 ,0.9587912087912088   ,0               ,28.000000000000004,At Risk
HLE       ,HELLA GmbH & Co. KGaA                                           ,Consumer Discretionary,Automobile Components                                ,DE     ,XTRA    ,0.24000000000000002     ,4.349626400996264    ,                      ,3              ,0.3                 ,0.6946107784431138   ,0               ,76.0              ,Monitor
2282      ,MGM China Holdings Limited                                      ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,MO     ,SEHK    ,0.24000000000000002     ,12.020112517580872   ,                      ,3              ,0.3                 ,0.8059701492537313   ,0               ,76.0              ,Monitor
EXENS     ,Exosens                                                         ,Industrials           ,Aerospace and Defense                                ,FR     ,ENXTPA  ,0.33999999999999997     ,11.24581939799331    ,                      ,0              ,0.0                 ,                     ,0               ,66.0              ,Monitor
NESTLE    ,Nestlé (Malaysia) Berhad                                        ,Consumer Staples      ,Food Products                                        ,MY     ,KLSE    ,0.49                    ,2.120212552636856    ,                      ,1              ,0.1                 ,0.7342995169082126   ,0               ,51.0              ,Borderline
DIGI      ,Digi Communications N.V.                                        ,Communication Services,Diversified Telecommunication Services               ,RO     ,BVB     ,0.75                    ,-6.932707355242567   ,29.045454545454547    ,6              ,0.6                 ,0.3883495145631068   ,0               ,25.0              ,At Risk
