ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,current_streak,streak_type,continuation_probability,mean_reversion_probability,expected_next_outcome,prediction_confidence,dynamic_total_reports,historical_beat_rate,revision_momentum_score,next_earnings_status
CPRX      ,Catalyst Pharmaceuticals Inc.                                   ,Health Care           ,Biotechnology                                        ,US     ,NasdaqCM,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
MGRC      ,McGrath RentCorp                                                ,Industrials           ,Trading Companies and Distributors                   ,US     ,NasdaqGS,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
SHOO      ,Steven Madden Ltd.                                              ,Consumer Discretionary,Textiles Apparel and Luxury Goods                    ,US     ,NasdaqGS,4             ,beat       ,0.33930406249999995     ,0.6606959375000001        ,miss                 ,0.6                  ,6                    ,0.0                 ,                       ,Confirmed
BATRK     ,Atlanta Braves Holdings Inc.                                    ,Communication Services,Entertainment                                        ,US     ,NasdaqGS,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,6                    ,0.0                 ,                       ,Confirmed
DRVN      ,Driven Brands Holdings Inc.                                     ,Consumer Discretionary,Diversified Consumer Services                        ,US     ,NasdaqGS,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,6                    ,0.0                 ,                       ,Confirmed
BKV       ,BKV Corporation                                                 ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NYSE    ,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,6                    ,0.0                 ,                       ,Confirmed
SBLK      ,Star Bulk Carriers Corp.                                        ,Industrials           ,Marine Transportation                                ,GR     ,NasdaqGS,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,6                    ,0.0                 ,                       ,Confirmed
SDRL      ,Seadrill Limited                                                ,Energy                ,Energy Equipment and Services                        ,US     ,NYSE    ,2             ,beat       ,0.46962499999999996     ,0.530375                  ,miss                 ,0.8                  ,6                    ,0.0                 ,                       ,Confirmed
NGVT      ,Ingevity Corporation                                            ,Materials             ,Chemicals                                            ,US     ,NYSE    ,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,5                    ,0.0                 ,                       ,Confirmed
APLS      ,Apellis Pharmaceuticals Inc.                                    ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGS,1             ,beat       ,0.5525                  ,0.4475                    ,beat                 ,0.9                  ,6                    ,0.0                 ,                       ,Estimated
LFST      ,LifeStance Health Group Inc.                                    ,Health Care           ,Health Care Providers and Services                   ,US     ,NasdaqGS,0             ,miss       ,0.65                    ,0.35                      ,miss                 ,1.0                  ,6                    ,0.0                 ,                       ,Confirmed
MEL       ,Meliá Hotels International S.A.                                 ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,ES     ,BME     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
AENA      ,Aena S.M.E. S.A.                                                ,Industrials           ,Transportation Infrastructure                        ,ES     ,BME     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Estimated
IBE       ,Iberdrola S.A.                                                  ,Utilities             ,Electric Utilities                                   ,ES     ,BME     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
ITP       ,Interparfums SA                                                 ,Consumer Staples      ,Personal Care Products                               ,FR     ,ENXTPA  ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
FEMSAUBD  ,Fomento Económico Mexicano S.A.B. de C.V.                       ,Consumer Staples      ,Beverages                                            ,MX     ,BMV     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
NDX1      ,Nordex SE                                                       ,Industrials           ,Electrical Equipment                                 ,DE     ,XTRA    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
4018      ,Almoosa Health Company                                          ,Health Care           ,Health Care Providers and Services                   ,SA     ,SASE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Estimated
GF        ,Georg Fischer AG                                                ,Industrials           ,Machinery                                            ,CH     ,SWX     ,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,3                    ,0.0                 ,                       ,Confirmed
NYAX      ,Nayax Ltd.                                                      ,Information Technology,Electronic Equipment Instruments and Components      ,IL     ,TASE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Estimated
GL9       ,Glanbia plc                                                     ,Consumer Staples      ,Food Products                                        ,IE     ,ISE     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,5                    ,0.0                 ,                       ,Confirmed
VISTAA    ,Vista Energy S.A.B. de C.V.                                     ,Energy                ,Oil Gas and Consumable Fuels                         ,MX     ,BMV     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
