category                 ,feature                     ,count,mean                  ,median                ,std                  ,min                ,q25                   ,q75                  ,max               ,positive_pct      ,missing_pct
Valuation Ratios         ,p_e_ratio                   ,2214 ,37.09390243902439     ,22.8                  ,48.70592216456851    ,0.0                ,14.5                  ,39.1                 ,472.4             ,99.95483288166214 ,25.25320729237002
Valuation Ratios         ,p_b_ratio                   ,2855 ,5.19814360770578      ,2.5                   ,11.862591295153505   ,0.1                ,1.5                   ,5.0                  ,251.1             ,100.0             ,3.6124240378122887
Valuation Ratios         ,ev_ebitda_ratio             ,2634 ,16.837737281700836    ,10.6                  ,25.749746652791494   ,0.0                ,7.3                   ,16.3                 ,412.8             ,99.96203492786636 ,11.073598919648886
Valuation Ratios         ,ev_sales_ratio              ,2878 ,6.335441278665741     ,2.2                   ,27.39708981009512    ,0.0                ,1.1                   ,4.3                  ,492.8             ,99.89576094510076 ,2.835921674544227
Valuation Ratios         ,peg_ratio                   ,1771 ,0.4076256152551853    ,0.2897045139180854    ,12.249600503969344   ,-101.67959625419176,-1.474229848634344    ,1.6867768248727755   ,256.0137704346026 ,56.07001693958216 ,40.20931802835921
Valuation Ratios         ,ev_sales_trend_1y           ,2740 ,0.5622423412542219    ,0.0714285714285714    ,5.249024438280803    ,-1.0               ,-0.1818181818181818   ,0.4285714285714285   ,198.0             ,53.54014598540145 ,7.4949358541526
Valuation Ratios         ,ev_ebitda_momentum          ,2491 ,1.871663650474086     ,0.0625                ,38.546933477495124   ,-1.0               ,-0.2113247863247863   ,0.4509803921568627   ,1439.0            ,55.238859895624245,15.901417960837271
Valuation Ratios         ,p_e_momentum_yoy            ,2107 ,0.8895540956902862    ,0.1428571428571428    ,4.623790674589828    ,-1.0               ,-0.2413610485899642   ,0.7807017543859649   ,110.4             ,58.32937826293308 ,28.86563133018231
Valuation Ratios         ,p_e_momentum_qoq            ,2198 ,0.3677594394196157    ,0.1818181818181818    ,1.1305399482126763   ,-1.0               ,-0.061880487114131924 ,0.5                  ,28.285714285714285,68.24385805277525 ,25.79338284942606
Valuation Ratios         ,ev_sales_vs_3y_avg          ,2682 ,0.15224096572123333   ,0.0526315789473684    ,0.5794431440123797   ,-1.0               ,-0.13129290617848965  ,0.305678793256433    ,9.571428571428573 ,52.9082774049217  ,9.453072248480757
