ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,achievement_probability,upside_potential     ,price_target_spread_pct,analyst_conviction,eps_revision_momentum,analyst_rating_normalized,expected_return_prob_weighted,confidence_level
FER       ,Ferrovial SE                                                    ,Industrials           ,Construction and Engineering                         ,NL     ,BME     ,0.7999999999999999     ,-1.5992167101827677  ,44.776119402985074     ,57.142857142857146,0.032715             ,73.75                    ,-1.279373368146214           ,Low
SDZ       ,Sandoz Group AG                                                 ,Health Care           ,Pharmaceuticals                                      ,CH     ,SWX     ,0.7999999999999999     ,-11.960694698354661  ,54.71300766581876      ,56.25             ,0.014225             ,72.0                     ,-9.568555758683729           ,Low
LDO       ,Leonardo S.p.a.                                                 ,Industrials           ,Aerospace and Defense                                ,IT     ,BIT     ,0.5                    ,12.79585798816568    ,50.81967213114754      ,52.63157894736842 ,0.039415             ,71.0                     ,6.39792899408284             ,Low
BEM       ,Bangkok Expressway and Metro Public Company Limited             ,Industrials           ,Transportation Infrastructure                        ,TH     ,SET     ,0.37                   ,47.72727272727273    ,38.15384615384615      ,100.0             ,0.034085             ,100.0                    ,17.65909090909091            ,Low
ALC       ,Alcon Inc.                                                      ,Health Care           ,Health Care Equipment and Supplies                   ,CH     ,SWX     ,0.43000000000000005    ,24.971803278688526   ,43.860779087217054     ,65.51724137931035 ,-0.008225            ,79.25                    ,10.737875409836068           ,Low
GRUPOARGOS,Grupo Argos S.A.                                                ,Materials             ,Construction Materials                               ,CO     ,BVC     ,0.47000000000000003    ,18.258426966292134   ,42.280285035629454     ,50.0              ,0.05573              ,75.0                     ,8.581460674157304            ,Low
2689      ,Nine Dragons Paper (Holdings) Limited                           ,Materials             ,Paper and Forest Products                            ,CN     ,SEHK    ,0.9                    ,-13.553814002089863  ,80.46150684765922      ,54.54545454545455 ,0.435385             ,77.25                    ,-12.198432601880878          ,Low
NKT       ,NKT A/S                                                         ,Industrials           ,Electrical Equipment                                 ,DK     ,CPSE    ,0.75                   ,-1.2875536480686696  ,71.14782608695653      ,9.090909090909092 ,0.031715             ,54.5                     ,-0.9656652360515021          ,Low
OPM       ,OPmobility SE                                                   ,Consumer Discretionary,Automobile Components                                ,FR     ,ENXTPA  ,0.75                   ,0.7109004739336493   ,58.8235294117647       ,50.0              ,0.05378              ,75.0                     ,0.533175355450237            ,Low
1212      ,Astra Industrial Group Company                                  ,Industrials           ,Industrial Conglomerates                             ,SA     ,SASE    ,0.63                   ,16.546762589928058   ,2.4691358024691357     ,50.0              ,0.029385             ,62.5                     ,10.424460431654676           ,High
BAYN      ,Bayer Aktiengesellschaft                                        ,Health Care           ,Pharmaceuticals                                      ,DE     ,XTRA    ,0.73                   ,0.2500815483309775   ,69.41431670281996      ,60.0              ,0.04332              ,71.25                    ,0.1825595302816136           ,Low
GENM      ,Genting Malaysia Berhad                                         ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,MY     ,KLSE    ,0.32                   ,29.14572864321608    ,56.03112840466926      ,53.84615384615385 ,0.025995             ,73.0                     ,9.326633165829147            ,Low
GENTING   ,Genting Berhad                                                  ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,MY     ,KLSE    ,0.37                   ,28.96551724137931    ,80.21390374331551      ,50.0              ,-0.064605            ,73.0                     ,10.717241379310344           ,Low
1686      ,SUNeVision Holdings Ltd.                                        ,Information Technology,IT Services                                          ,HK     ,SEHK    ,0.53                   ,29.657228017883757   ,42.52873563218391      ,100.0             ,-0.021955            ,93.75                    ,15.718330849478392           ,Low
CRCL      ,Circle Internet Group Inc.                                      ,Information Technology,Software                                             ,US     ,NYSE    ,0.15999999999999998    ,78.2145236508994     ,205.60747663551402     ,43.47826086956522 ,0.0                  ,69.5                     ,12.514323784143901           ,Low
CRM       ,Salesforce Inc.                                                 ,Information Technology,Software                                             ,US     ,NYSE    ,0.22                   ,73.94054395951929    ,76.36363636363636      ,74.57627118644068 ,0.018145             ,85.0                     ,16.266919671094243           ,Low
PSTG      ,Pure Storage Inc.                                               ,Information Technology,Technology Hardware Storage and Peripherals          ,US     ,NYSE    ,0.3                    ,35.409614082599866   ,45.0                   ,61.904761904761905,0.01896              ,76.25                    ,10.622884224779959           ,Low
TJX       ,The TJX Companies Inc.                                          ,Consumer Discretionary,Specialty Retail                                     ,US     ,NYSE    ,0.74                   ,9.413440372912081    ,55.02958579881657      ,85.71428571428571 ,0.01144              ,89.25                    ,6.96594587595494             ,Low
LOW       ,Lowe's Companies Inc.                                           ,Consumer Discretionary,Specialty Retail                                     ,US     ,NYSE    ,0.9                    ,-1.1795817530185462  ,37.32394366197183      ,57.142857142857146,-0.001725            ,77.25                    ,-1.0616235777166916          ,Low
KNTK      ,Kinetik Holdings Inc.                                           ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NYSE    ,0.64                   ,10.736639383726528   ,32.608695652173914     ,64.28571428571429 ,0.00189              ,73.25                    ,6.8714492055849785           ,Medium
CHE       ,Chemed Corporation                                              ,Health Care           ,Health Care Providers and Services                   ,US     ,NYSE    ,0.52                   ,21.719284899201217   ,20.833333333333332     ,75.0              ,-0.011495            ,81.25                    ,11.294028147584633           ,Medium
TTD       ,The Trade Desk Inc.                                             ,Communication Services,Media                                                ,US     ,NasdaqGM,0.06                   ,93.72336303758233    ,136.0                  ,44.73684210526316 ,-0.01194             ,71.0                     ,5.623401782254939            ,Low
SNPS      ,Synopsys Inc.                                                   ,Information Technology,Software                                             ,US     ,NasdaqGS,0.47000000000000003    ,28.120066805463406   ,40.17857142857143      ,73.07692307692308 ,-0.0295              ,85.0                     ,13.216431398567801           ,Low
SNOW      ,Snowflake Inc.                                                  ,Information Technology,IT Services                                          ,US     ,NYSE    ,0.19                   ,52.50425146744199    ,118.70503597122303     ,79.24528301886792 ,0.033345             ,86.0                     ,9.975807778813978            ,Low
MDLN      ,Medline Inc.                                                    ,Health Care           ,Health Care Equipment and Supplies                   ,US     ,NasdaqGS,0.85                   ,7.744107744107744    ,35.416666666666664     ,81.48148148148148 ,0.000695             ,85.25                    ,6.582491582491582            ,Low
L         ,Loblaw Companies Limited                                        ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,CA     ,TSX     ,0.89                   ,-1.2673150604185086  ,49.25373134328358      ,72.72727272727273 ,0.02474              ,77.25                    ,-1.1279104037724728          ,Low
TKO       ,TKO Group Holdings Inc.                                         ,Communication Services,Entertainment                                        ,US     ,NYSE    ,0.75                   ,12.696493349455865   ,34.33476394849785      ,85.0              ,-0.080615            ,91.25                    ,9.5223700120919              ,Medium
EBAY      ,eBay Inc.                                                       ,Consumer Discretionary,Broadline Retail                                     ,US     ,NasdaqGS,0.45000000000000007    ,15.319252245690702   ,55.78947368421053      ,20.58823529411765 ,0.005345             ,57.25                    ,6.893663510560817            ,Low
HLN       ,Haleon plc                                                      ,Health Care           ,Pharmaceuticals                                      ,GB     ,LSE     ,0.75                   ,5.083088954056696    ,42.325581395348834     ,58.8235294117647  ,0.02463              ,76.5                     ,3.812316715542522            ,Low
NPI       ,Northland Power Inc.                                            ,Utilities             ,Independent Power and Renewable Electricity Producers,CA     ,TSX     ,0.53                   ,12.187659357470679   ,40.90909090909091      ,53.84615384615385 ,0.117685             ,69.25                    ,6.4594594594594605           ,Low
A         ,Agilent Technologies Inc.                                       ,Health Care           ,Life Sciences Tools and Services                     ,US     ,NYSE    ,0.45                   ,35.124393927350766   ,20.58823529411765      ,71.42857142857143 ,-0.00949             ,81.0                     ,15.805977267307846           ,Medium
FTAI      ,FTAI Aviation Ltd.                                              ,Industrials           ,Trading Companies and Distributors                   ,US     ,NasdaqGS,0.8                    ,16.490977309272825   ,27.607361963190183     ,100.0             ,-0.02736             ,89.0                     ,13.19278184741826            ,Medium
