ticker    ,name                                                                            ,sector                ,industry                                             ,country,exchange,last_price,pt_median  ,pt_spread          ,expected_upside_pct  ,upside_std         ,var_5_pct             ,prob_positive_upside,risk_reward_ratio
6525      ,Kokusai Electric Corporation                                                    ,Information Technology,Semiconductors and Semiconductor Equipment           ,JP     ,TSE     ,6400.0    ,5550.0     ,3300.0             ,-15.373629831524674  ,10.605972767979665 ,-33.9150623165939     ,7.51                ,-1.4495256746216596
7201      ,Nissan Motor Co. Ltd.                                                           ,Consumer Discretionary,Automobiles                                          ,JP     ,TSE     ,377.3     ,370.0      ,210.0              ,-4.718308767083654   ,11.389331260523168 ,-24.148914883875257   ,35.589999999999996  ,-0.4142744344821979
7550      ,Zensho Holdings Co. Ltd.                                                        ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,JP     ,TSE     ,8377.0    ,10500.0    ,2800.0             ,27.63724098561609    ,6.85740508179836   ,16.832589628232007    ,100.0               ,4.030276854866535
ADPORTS   ,Abu Dhabi Ports Company PJSC                                                    ,Industrials           ,Transportation Infrastructure                        ,AE     ,ADX     ,5.16      ,7.0        ,3.4000000000000004 ,31.936377989789065   ,13.51603917793506  ,8.259160542864684     ,99.68               ,2.3628503564805596
TOP       ,Thai Oil Public Company Limited                                                 ,Energy                ,Oil Gas and Consumable Fuels                         ,TH     ,SET     ,42.75     ,40.0       ,22.0               ,-9.612671616258208   ,10.531405856487167 ,-28.088464606470545   ,19.33               ,-0.9127624314598953
CPACASC1  ,Cementos Pacasmayo S.A.A.                                                       ,Materials             ,Construction Materials                               ,PE     ,BVL     ,7.33      ,5.15       ,0.5                ,-29.726802967036516  ,1.3980854832044074 ,-32.02428998640517    ,0.0                 ,-21.262507424726834
ABEV3     ,Ambev S.A.                                                                      ,Consumer Staples      ,Beverages                                            ,BR     ,BOVESPA ,14.85     ,14.0       ,6.699999999999999  ,-4.22442899639493    ,9.202275307659024  ,-19.115355497240426   ,32.05               ,-0.4590635310463871
5711      ,Mitsubishi Materials Corporation                                                ,Materials             ,Metals and Mining                                    ,JP     ,TSE     ,4448.0    ,3200.0     ,2300.0             ,-25.841185788671403  ,10.665864710460097 ,-43.039558160078386   ,0.08                ,-2.4227933215137023
AIRARABIA ,Air Arabia PJSC                                                                 ,Industrials           ,Passenger Airlines                                   ,AE     ,DFM     ,4.98      ,4.16       ,1.6399999999999997 ,-10.846928074215109  ,7.05469844381052   ,-20.907392801925653   ,8.75                ,-1.5375466663258617
RAKCEC    ,R.A.K. Ceramics P.J.S.C.                                                        ,Industrials           ,Building Products                                    ,AE     ,ADX     ,2.54      ,3.25       ,0.77               ,23.19822541706728    ,6.392545475630232  ,11.350308227962731    ,100.0               ,3.6289496109967367
6268      ,Nabtesco Corporation                                                            ,Industrials           ,Machinery                                            ,JP     ,TSE     ,4181.0    ,4050.0     ,2050.0             ,-2.5524889894542486  ,9.979095468657727  ,-19.189292655406742   ,39.46               ,-0.25578360257912036
AYGAZ     ,Aygaz A.S.                                                                      ,Utilities             ,Gas Utilities                                        ,TR     ,IBSE    ,239.8     ,269.4      ,93.75              ,11.356162582876083   ,7.894594005329221  ,-2.1493243355819542   ,91.17               ,1.438473286303278
2270      ,Saudia Dairy & Foodstuff Company                                                ,Consumer Staples      ,Food Products                                        ,SA     ,SASE    ,241.8     ,310.0      ,57.60000000000002  ,25.761696871234108   ,4.93907369005953   ,17.00527420378895     ,100.0               ,5.215896438857062
1662      ,Japan Petroleum Exploration Co. Ltd.                                            ,Energy                ,Oil Gas and Consumable Fuels                         ,JP     ,TSE     ,1894.0    ,1325.0     ,340.0              ,-35.55069833658799   ,4.1703171320696075 ,-43.35439157520754    ,0.0                 ,-8.524699012265575
TAQA      ,Abu Dhabi National Energy Company PJSC                                          ,Utilities             ,Multi-Utilities                                      ,AE     ,ADX     ,2.87      ,3.0        ,1.9500000000000002 ,-4.0635686221456675  ,14.127384837608036 ,-29.586661810817795   ,43.76               ,-0.2876377099410627
9468      ,Kadokawa Corporation                                                            ,Communication Services,Media                                                ,JP     ,TSE     ,3268.0    ,3700.0     ,1500.0             ,12.201852461666768   ,9.355329918551952  ,-3.709597925829946    ,88.71               ,1.3042674676250658
9987      ,Suzuken Co. Ltd.                                                                ,Health Care           ,Health Care Providers and Services                   ,JP     ,TSE     ,6228.0    ,6310.0     ,1500.0             ,-1.4527430472041354  ,5.004166803584223  ,-10.462090538924501   ,43.47               ,-0.29030667925849546
5991      ,NHK Spring Co. Ltd.                                                             ,Consumer Discretionary,Automobile Components                                ,JP     ,TSE     ,2806.0    ,2845.0     ,1400.0             ,-1.978818280252046   ,10.18535693914498  ,-19.779842101072312   ,45.43               ,-0.19428070042856643
TMQ       ,Trilogy Metals Inc.                                                             ,Materials             ,Metals and Mining                                    ,CA     ,TSX     ,6.85      ,8.3449     ,6.7341999999999995 ,35.351595670242325   ,20.820092667201507 ,4.247552382941508     ,98.28               ,1.6979557312889733
ES        ,Eversource Energy                                                               ,Utilities             ,Electric Utilities                                   ,US     ,NYSE    ,69.13     ,74.0       ,30.0               ,5.225599094478669    ,8.94132154847981   ,-10.256427925300143   ,71.59               ,0.5844325210927145
HWM       ,Howmet Aerospace Inc.                                                           ,Industrials           ,Aerospace and Defense                                ,US     ,NYSE    ,208.08    ,247.5      ,95.08000000000001  ,23.78919993585015    ,9.533555382486108  ,9.185942924497281     ,100.0               ,2.49531250214928
TRIP      ,Tripadvisor Inc.                                                                ,Communication Services,Interactive Media and Services                       ,US     ,NasdaqGS,13.29     ,18.0       ,13.0               ,37.9113799363365     ,20.074825047168286 ,5.4340954504374785    ,97.94               ,1.8885036281640823
AEM       ,Agnico Eagle Mines Limited                                                      ,Materials             ,Metals and Mining                                    ,CA     ,NYSE    ,190.5     ,235.5      ,196.0              ,3.552774469036577    ,22.03065279005639  ,-37.49085816894256    ,60.17               ,0.16126505659605936
