ticker,weight
TIT,0.02856504055260456
002602,0.020338600349153427
RBLX,0.02481919602529764
SATS,0.011185956333686665
ASTS,0.01473616775078253
TME,0.014766282306244851
1024,0.024952364392571005
6181,0.014820782866040567
9992,0.025710834393425874
9863,0.014376598400645793
W,0.013410981024180937
ATZ,0.01717154840791083
7453,0.025521510589993544
BABA,0.027469152738081003
600415,0.015535589844637083
XPEV,0.013003775937056936
175,0.026772581799711596
LKNCY,0.026668045867293204
NPN,0.031431585025831765
489,0.025840738450477553
1929,0.012359562417519999
TPR,0.016397607650659285
Y92,0.014704678419195174
CELH,0.010310982160405949
6618,0.011538595640215943
VG,0.025106094504320164
CUAN,0.024644971003525896
HOOD,0.009575395092101655
FMCC,0.01781733827266122
FUTU,0.016758606404950825
FNMA,0.025073244477616385
FISV,0.014119766943883914
GLE,0.01869148405823589
ABVX,0.023412524363779094
1530,0.023557345657547465
BBIO,0.02131990729617412
GH,0.019964362099610135
6990,0.01801219357800857
2268,0.023136509331945956
SMMT,0.02706119703974305
INSM,0.027571579333966707
9926,0.01869105709356209
1801,0.01444871632658665
603259,0.020697178247166468
2269,0.02276239206518023
IONS,0.021325775035089055
3692,0.027643168374222347
BMRN,0.023164180602325526
ASND,0.01547888170063793
BE,0.017557371753534973
